sep=,
"Name
                     
                    Date","Reference","Status","Description","Qty","Total Selling"
,,,"CMA-528-2M - 1.5","1","22408"
"Total for SO4602",,,,"1","22408"
"20/07/2026","SO4753","Invoiced",,,
,,,"CMP 512 2M","1","5250"
"Total for SO4753",,,,"1","5250"
"Total for Apex Engineering (PTY) Ltd",,,,"6","51102"
"Arctic Air (Pty) Ltd",,,,,
"17/03/2026","SO4465","Invoiced",,,
,,,"HC-45-4M/H","2","11800"
"Total for SO4465",,,,"2","11800"
"20/04/2026","SO4535","Invoiced",,,
,,,"MAXFLO 400/150/10 A c/w 1,10KW 2P 380V","1","6286"
,,,"400 Diam Silencer 1.5D Podded","1","2125"
,,,"400 Diam Counter Flange","2","474"
,,,"400 Diam Mounting Feet","3","378"
"Total for SO4535",,,,"7","9263"
"21/05/2026","SO4603","Invoiced",,,
,,,"FAN REFURBISHING - SUPPLYING 0.75KW 2P 380V MOTOR","1","3059"
"Total for SO4603",,,,"1","3059"
"10/06/2026","SO4655","Invoiced",,,
,,,"FAN REFURBISHING - SUPPLYING 0.75KW 2P 380V MOTOR","1","3059"
"Total for SO4655",,,,"1","3059"
"Total for Arctic Air (Pty) Ltd",,,,"11","27181"
"Arta Masjinerie",,,,,
"07/04/2026","SO4506","Invoiced",,,
,,,"800 c/w 3.0Kw 4Pole 380V","4","50968"
"Total for SO4506",,,,"4","50968"
"25/05/2026","SO4614","Invoiced",,,
,,,"800 c/w 3.0Kw 4Pole 380V","5","63710"
"Total for SO4614",,,,"5","63710"
"Total for Arta Masjinerie",,,,"9","114678"
"Artesian Construction",,,,,
"24/06/2026","SO4681","Invoiced",,,
,,,"MAJAX-3 315 c/w 0,25KW 4P 380V(repair)","1","5229"
"Total for SO4681",,,,"1","5229"
"Total for Artesian Construction",,,,"1","5229"
"Atlas Air Conditioning (Pty) Ltd",,,,,
"02/03/2026","SO4420","Invoiced",,,
,,,"RAD 150-FAN NO1","1","0"
"Total for SO4420",,,,"1","0"
"16/03/2026","SO4461","Invoiced",,,
,,,"RAD 150","1","0"
"Total for SO4461",,,,"1","0"
"16/03/2026","SO4462","Invoiced",,,
,,,"RAD 250","1","2306"
"Total for SO4462",,,,"1","2306"
"25/03/2026","SO4483","Invoiced",,,
,,,"MAJAX-3 500 c/w 0,37KW 4P 380V","1","6896.44"
"Total for SO4483",,,,"1","6896.44"
"17/04/2026","SO4531","Invoiced",,,
,,,"RAD 355","1","0"
"Total for SO4531",,,,"1","0"
"11/05/2026","SO4574","Invoiced",,,
,,,"RAD 150","4","4220"
,,,"150 Diam Tube Silencer 600L","8","4976"
"Total for SO4574",,,,"12","9196"
"29/05/2026","SO4624","Pending",,,
,,,"DDMP 10/10 230V","1","16000"
"Total for SO4624",,,,"1","16000"
"02/06/2026","SO4631","Invoiced",,,
,,,"NEOLINEO-315/V","2","11798"
,,,"315 Diam Tube Silencer 600L","4","3536"
,,,"NEOLINEO-250/V","1","4446"
,,,"250 Diam Tube Silencer 600L","2","1550"
,,,"MAXFLO 560/250/14 A c/w 0,55KW 4P 380V","1","8779"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"Anti-Vibration Rubber Mounts","8","520"
,,,"MAXFLO 560/250/14 A c/w 0,37KW 4P 380V","1","8546"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"Anti-Vibration Rubber Mounts","8","520"
"Total for SO4631",,,,"43","56991"
"Total for Atlas Air Conditioning (Pty) Ltd",,,,"61","91389.44"
"B & D Aircon and Ventilation (Pty) Ltd",,,,,
"05/03/2026","SO4429","Invoiced",,,
,,,"315 Diam Tube Silencer 600L","2","1768"
"Total for SO4429",,,,"2","1768"
"30/04/2026","SO4551","Invoiced",,,
,,,"V 150/6 AR","1","1743"
"Total for SO4551",,,,"1","1743"
"Total for B & D Aircon and Ventilation (Pty) Ltd",,,,"3","3511"
"BMT SMART SOLUTIONS (PTY) LTD",,,,,
"02/03/2026","SO4418","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 1,10KW 2P 380V","2","13846"
,,,"400 Diam Silencer 1.5D Podded","4","8500"
,,,"400 Diam Counter Flange","4","1052"
,,,"400 Diam Mounting Feet","8","1128"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","16","1040"
"Total for SO4418",,,,"34","25566"
"02/03/2026","SO4419","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 1,10KW 2P 380V","1","6923"
,,,"400 Diam Silencer 1.5D Podded","2","4250"
,,,"400 Diam Counter Flange","2","526"
,,,"400 Diam Mounting Feet","4","564"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4419",,,,"17","12783"
"21/05/2026","SO4604","Invoiced",,,
,,,"M 150 / 6","2","2908"
"Total for SO4604",,,,"2","2908"
"Total for BMT SMART SOLUTIONS (PTY) LTD",,,,"53","41257"
"BTD Enterprises",,,,,
"19/05/2026","SO4598","Invoiced",,,
,,,"560 Diam Silencer 1.5D Podded","1","4439"
"Total for SO4598",,,,"1","4439"
"Total for BTD Enterprises",,,,"1","4439"
"Babina Phiri Distributors Pty LTD",,,,,
"03/06/2026","SO4634","Invoiced",,,
,,,"LT10 - 10 Amps","1","1833"
"Total for SO4634",,,,"1","1833"
"Total for Babina Phiri Distributors Pty LTD",,,,"1","1833"
"BirCraft Geared Motors Linear Actuators Controls t/a Bircraft cc",,,,,
"03/03/2026","SO4423","Invoiced",,,
,,,"CMP 616 2T","1","9382"
"Total for SO4423",,,,"1","9382"
"Total for BirCraft Geared Motors Linear Actuators Controls t/a Bircraft cc",,,,"1","9382"
"Bluhm Burton Engineering Projects (Pty) Ltd",,,,,
"15/07/2026","SO4738","Pending",,,
,,,"Majax-2 560 c/w 1.1kW 4Pole 380V (Flame Proof)","5","146575"
,,,"Majax Inlet Cone & Screen","5","13750"
,,,"560 Diam Silax Attenuator1.5D Podded","5","21880"
,,,"Fan Screen","5","3285"
,,,"Wooden crates","5","3650"
"Total for SO4738",,,,"25","189140"
"Total for Bluhm Burton Engineering Projects (Pty) Ltd",,,,"25","189140"
"Bokamoso Civil",,,,,
"31/03/2026","SO4533","Invoiced",,,
,,,"MAXFLO 630/150/10 A c/w 0,37KW 4P 380V","1","7215"
,,,"630 Diam Counter Flange","2","886"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"MAXFLO 400/150/10 A c/w 1,10KW 2P 380V","1","6286"
,,,"400 Diam Counter Flange","2","526"
,,,"400 Diam Mounting Feet","4","564"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","480"
,,,"800 Diam Silencer 1.5D Podded","1","5758"
,,,"630 Diam Silencer 1.5D Podded","1","3919"
,,,"400 Diam Silencer 1.5D Podded","1","2125"
,,,"560 Diam Silencer 1.5D Podded","1","2636"
"Total for SO4533",,,,"34","32235"
"06/05/2026","SO4567","Invoiced",,,
,,,"800 Diam Counter Flange","2","1216"
,,,"560 Diam Counter Flange","2","794"
"Total for SO4567",,,,"4","2010"
"Total for Bokamoso Civil",,,,"38","34245"
"Boleng Mechanical Engineering Services & Consulting",,,,,
"17/04/2026","SO4534","Invoiced",,,
,,,"MAXFLO 710/150/10 A BIF c/w 1,10KW 4P 380V - BIF","1","13850"
,,,"710 Diam Melinex Silencer 1.5D Podded","2","9598"
,,,"710 Diam Counter Flange","2","1002"
,,,"710 Diam Mounting Feet","4","1648"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"MAXFLO 315/150/10 A c/w 0,37KW 2P 380V","1","6607.53"
,,,"315 Diam Silencer 1.5D Podded","2","3750"
,,,"315 Diam Counter Flange","2","454"
,,,"315 Diam Mounting Feet","4","588"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4534",,,,"34","38817.53"
"22/04/2026","SO4540","Invoiced",,,
,,,"315 Diam Silencer 1.5D Podded","2","3490"
"Total for SO4540",,,,"2","3490"
"26/06/2026","SO4691","Invoiced",,,
,,,"CA/LINE-20","1","2456.42"
,,,"200 Diam Tube Silencer 600L","2","1388"
"Total for SO4691",,,,"3","3844.42"
"09/07/2026","SO4724","Invoiced",,,
,,,"MAXFLO 710/150/10 A c/w 1,10KW 4P 380V - (BIFUCATED) - EF1","1","13850"
,,,"710 Diam Counter Flange","2","1002"
,,,"710 Diam Melinex Silencer 1.5D Podded","2","9598"
,,,"710 Diam Mounting Feet","4","1648"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"MAXFLO 315/150/10 A c/w 0.37kW 2P 220V -EF2","1","6196"
,,,"315 Diam Silencer 1.5D Podded","2","3490"
,,,"315 Diam Counter Flange","2","424"
,,,"315 Diam Mounting Feet","4","500"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4724",,,,"34","38028"
"20/07/2026","SO4752","Invoiced",,,
,,,"DDM 9/9 - 6M02R9 - 550W 4P 220V-1Ph","1","7096.5"
"Total for SO4752",,,,"1","7096.5"
"Total for Boleng Mechanical Engineering Services & Consulting",,,,"74","91276.45"
"Brasco Electrical (2001) CC",,,,,
"20/04/2026","SO4532","Invoiced",,,
,,,"MAXFLO 560/150/10 P c/w 0,75KW 4P 380V","1","6281.25"
,,,"560 Diam Mounting Feet","4","960"
,,,"560 Diam Counter Flange","2","663"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","516"
"Total for SO4532",,,,"15","8420.25"
"27/05/2026","SO4618","Invoiced",,,
,,,"MAJAX-3 500 c/w 1,50KW 2P 380V - (OPTION)","1","7701"
"Total for SO4618",,,,"1","7701"
"03/06/2026","SO4633","Invoiced",,,
,,,"MAJAX-3 500 (BIFUCATED) c/w 0.55KW 2P 380V","1","10630"
"Total for SO4633",,,,"1","10630"
"08/06/2026","SO4644","Invoiced",,,
,,,"MAXFLO 315/150/10 A c/w 0,75KW 2P 380V","1","6488"
"Total for SO4644",,,,"1","6488"
"29/06/2026","SO4693","Invoiced",,,
,,,"MAJAX-3 900 c/w 7,50KW 4P 380V","1","15696"
"Total for SO4693",,,,"1","15696"
"Total for Brasco Electrical (2001) CC",,,,"19","48935.25"
"Breezeair Technical Services",,,,,
"06/05/2026","SO4566","Invoiced",,,
,,,"MAXFLO 560/250/14 A c/w 1,10KW 4P 380V","1","9106"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4566",,,,"15","11456"
"Total for Breezeair Technical Services",,,,"15","11456"
"Butec",,,,,
"04/03/2026","SO4428","Invoiced",,,
,,,"RAD 315","1","0"
"Total for SO4428",,,,"1","0"
"15/05/2026","SO4594","Invoiced",,,
,,,"MAXFLO 630/250/14 A c/w 2,20KW 4P 380V","1","10304"
,,,"630 Diam Melinex Silencer 1.5D Podded","1","3919"
,,,"630 Diam Melinex Silencer 1.0D Podded","1","3297"
,,,"630 Diam Counter Flange","1","443"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
"Total for SO4594",,,,"16","19803"
"29/05/2026","SO4625","Invoiced",,,
,,,"630 Diam Counter Flange","3","1329"
,,,"630 Diam Flexible Connection","2","2252"
"Total for SO4625",,,,"5","3581"
"21/07/2026","SO4756","Pending",,,
,,,"NEOLINEO-200/V","1","2692.06"
,,,"200 Diam Tube Silencer 600L","2","1360.24"
,,,"NEOLINEO-315/V","3","17343.06"
,,,"315 Diam Tube Silencer 600L","6","5197.92"
,,,"NEOLINEO-315/V","1","5781.02"
,,,"315 Diam Tube Silencer 600L","2","1732.64"
,,,"NEOLINEO-250/V","3","13071.24"
,,,"250 Diam Tube Silencer 600L","6","4557"
,,,"NEOLINEO-315/V","1","5781.02"
,,,"315 Diam Tube Silencer 600L","2","1732.64"
,,,"NEOLINEO-315/V","2","11562.04"
,,,"315 Diam Tube Silencer 600L","4","3465.28"
,,,"NEOLINEO-250/V","1","4357.08"
,,,"250 Diam Tube Silencer 600L","2","1519"
"Total for SO4756",,,,"36","80152.24"
"Total for Butec",,,,"58","103536.24"
"CASTCO PRECISION CASTINGS (PTY) LTD",,,,,
"06/07/2026","SO4707","Invoiced",,,
,,,"CMA-218-2M","1","8783"
"Total for SO4707",,,,"1","8783"
"Total for CASTCO PRECISION CASTINGS (PTY) LTD",,,,"1","8783"
"Cabmed PTY LTD",,,,,
"10/04/2026","SO4515","Invoiced",,,
,,,"SCL-K05 MS-2.2kW 380V","2","40982"
"Total for SO4515",,,,"2","40982"
"29/05/2026","SO4623","Invoiced",,,
,,,"SCL 06R-MS 0.20KW 220V","1","11793.6"
"Total for SO4623",,,,"1","11793.6"
"Total for Cabmed PTY LTD",,,,"3","52775.6"
"Cape Fans (Pty) Ltd",,,,,
"09/03/2026","SO4436","Invoiced",,,
,,,"CMP 512 2M","3","15750"
"Total for SO4436",,,,"3","15750"
"23/04/2026","SO4541","Invoiced",,,
,,,"DD 9/9 - 6M0697 - 300W 4P 220V - 1Ph","1","5816"
"Total for SO4541",,,,"1","5816"
"10/06/2026","SO4657","Invoiced",,,
,,,"CMP 514 2M","1","5912"
"Total for SO4657",,,,"1","5912"
"30/07/2026","SO4786","Pending",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12114"
"Total for SO4786",,,,"1","12114"
"Total for Cape Fans (Pty) Ltd",,,,"6","39592"
"Capital Cooling Pty Ltd",,,,,
"15/06/2026","SO4663","Invoiced",,,
,,,"1000.32.F.8 c/w 9.2kW 4P 380V","1","53074"
,,,"1000 Diam Counter Flange","2","1554"
,,,"1000 Diam Mounting Feet","2","2036"
,,,"1000dia AVM","4","1292"
"Total for SO4663",,,,"9","57956"
"Total for Capital Cooling Pty Ltd",,,,"9","57956"
"Carrons Corporate Maintenance",,,,,
"12/05/2026","SO4582","Invoiced",,,
,,,"V 300/12 AR","2","10114"
,,,"Door grill 300mm x 300mm neck size","3","3010.32"
"Total for SO4582",,,,"5","13124.32"
"13/05/2026","SO4585","Invoiced",,,
,,,"KSA-450-4K-T-380V","1","4180"
,,,"Louvre shutter 500mm","1","1607"
"Total for SO4585",,,,"2","5787"
"27/05/2026","SO4619","Invoiced",,,
,,,"Weather Louvre 600(W) x 600(H) OS NA","1","1464.92"
"Total for SO4619",,,,"1","1464.92"
"08/06/2026","SO4647","Invoiced",,,
,,,"GOODS RETURNED HANDLING FEE - CHARGED AT 15%","1","627"
"Total for SO4647",,,,"1","627"
"Total for Carrons Corporate Maintenance",,,,"9","21003.24"
"Cash Sale",,,,,
"22/05/2026","SO4611","Invoiced",,,
,,,"HCT-35-2M/PL","1","5397"
"Total for SO4611",,,,"1","5397"
"Total for Cash Sale",,,,"1","5397"
"Celette SA (PTY) LTD",,,,,
"16/03/2026","SO4458","Invoiced",,,
,,,"AT 18/18 SC - Single Unit","1","7247"
"Total for SO4458",,,,"1","7247"
"Total for Celette SA (PTY) LTD",,,,"1","7247"
"Centrifab (Pty) Ltd",,,,,
"01/04/2026","SO4503","Invoiced",,,
,,,"Extractor Ceiling Fan 250mm 220v","2","982"
"Total for SO4503",,,,"2","982"
"24/06/2026","SO4682","Invoiced",,,
,,,"RAD 355","1","0"
"Total for SO4682",,,,"1","0"
"Total for Centrifab (Pty) Ltd",,,,"3","982"
"Chabo & Joubert Air Conditioning (Pty) Ltd",,,,,
"12/03/2026","SO4448","Invoiced",,,
,,,"MAJAX 965 c/w 11,00KW 4P 525V - 2 Stage","2","73060"
"Total for SO4448",,,,"2","73060"
"08/04/2026","SO4510","Invoiced",,,
,,,"UV250/1/6 c/w 0.18kW 960rpm 6pole 220V Single Phase Motor incl Bird Screen","2","27480"
,,,"UV400/3/6 c/w 0.55kW 960rpm 6Pole 380V Motor incl Bird Screen","1","16514"
"Total for SO4510",,,,"3","43994"
"05/05/2026","SO4563","Invoiced",,,
,,,"MEX 100/4 LL 1S","12","11892"
"Total for SO4563",,,,"12","11892"
"14/05/2026","SO4589","Invoiced",,,
,,,"KAF 315","2","6104"
"Total for SO4589",,,,"2","6104"
"25/05/2026","SO4615","Invoiced",,,
,,,"KTEX 50-30-4","1","22343"
"Total for SO4615",,,,"1","22343"
"05/06/2026","SO4641","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 0,25KW 4P 380V","1","5075.32"
,,,"400 Diam Silencer 1.5D Podded","2","4037.5"
,,,"400 Diam Counter Flange","2","473.4"
,,,"400 Diam Mounting Feet","4","507.6"
"Total for SO4641",,,,"9","10093.82"
"08/06/2026","SO4649","Invoiced",,,
,,,"AT 15/15 SC2 - Double Unit","1","16812"
"Total for SO4649",,,,"1","16812"
"22/06/2026","SO4677","Invoiced",,,
,,,"MEX 100/4 1S LL T","3","2973"
"Total for SO4677",,,,"3","2973"
"26/06/2026","SO4687","Invoiced",,,
,,,"MEX 100/4 1S LL T","1","991"
"Total for SO4687",,,,"1","991"
"24/07/2026","SO4761","Invoiced",,,
,,,"710 Diam Melinex Silencer 1.5D Podded","1","4799"
,,,"710 Diam Counter Flange","2","1002"
"Total for SO4761",,,,"3","5801"
"Total for Chabo & Joubert Air Conditioning (Pty) Ltd",,,,"37","194063.82"
"Compre Air (Pty) Ltd",,,,,
"02/07/2026","SO4698","Invoiced",,,
,,,"MAXFLO 315/150/10 P c/w 1.1KW 2P 380V","1","6220"
,,,"315 Diam Silencer 1.5D Podded","2","3490"
,,,"315 Diam Counter Flange","2","424"
,,,"315 Diam Mounting Feet","4","500"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
,,,"MAXFLO 315/150/10 A c/w 0,75KW 2P 380V (Fan 02)","1","6201"
,,,"315 Diam Silencer 1.5D Podded","2","3490"
,,,"315 Diam Counter Flange","2","424"
,,,"315 Diam Mounting Feet","4","500"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4698",,,,"34","22289"
"08/07/2026","SO4717","Invoiced",,,
,,,"MAJAX-2 630 c/w 0,55KW 4P 380V","1","8994.6"
"Total for SO4717",,,,"1","8994.6"
"Total for Compre Air (Pty) Ltd",,,,"35","31283.6"
"Compu Cool (Pty) Ltd",,,,,
"06/03/2026","SO4434","Invoiced",,,
,,,"RAD 355","1","4167"
,,,"355 Diam Tube Silencer 600L","1","980"
"Total for SO4434",,,,"2","5147"
"13/03/2026","SO4437","Invoiced",,,
,,,"KDAXIS 350","1","1966"
"Total for SO4437",,,,"1","1966"
"11/03/2026","SO4443","Invoiced",,,
,,,"RAD 150","1","1453"
"Total for SO4443",,,,"1","1453"
"13/03/2026","SO4454","Invoiced",,,
,,,"RAD 200","1","2187"
"Total for SO4454",,,,"1","2187"
"30/03/2026","SO4494","Invoiced",,,
,,,"MAXFLO 630/250/14 A c/w 4,00KW 4P 380V","1","12598.15"
"Total for SO4494",,,,"1","12598.15"
"30/03/2026","SO4517","Pending",,,
,,,"UV710/3/6","6","147264"
"Total for SO4517",,,,"6","147264"
"15/04/2026","SO4524","Invoiced",,,
,,,"MAXFLO 630/250/14 A c/w 1,50KW 4P 380V","1","10795"
,,,"MAXFLO 630/250/14 A c/w 4,00KW 4P 380V","1","13261"
,,,"630 Diam Silencer 1.5D Podded","3","12375"
,,,"630 Diam Counter Flange","4","1868"
,,,"630 Diam Mounting Feet","8","2192"
"Total for SO4524",,,,"17","40491"
"04/05/2026","SO4559","Invoiced",,,
,,,"MAXFLO 710/150/10 A c/w 2,20KW 4P 380V","1","9938.79"
"Total for SO4559",,,,"1","9938.79"
"Total for Compu Cool (Pty) Ltd",,,,"30","221044.94"
"Cool Guys",,,,,
"01/07/2026","SO4697","Invoiced",,,
,,,"LINEO 100 VO","2","4586"
,,,"HCD 35 4M","1","4363"
"Total for SO4697",,,,"3","8949"
"Total for Cool Guys",,,,"3","8949"
"Cool World",,,,,
"16/07/2026","SO4749","Invoiced",,,
,,,"MAXFLO 500/150/10 A c/w 1,10KW 4P 380V","1","7456"
,,,"500 Diam Melinex Silencer 1.5D Podded","2","5272"
,,,"500 Diam Counter Flange","2","710"
,,,"500 Diam Mounting Feet","4","988"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","560"
,,,"MAXFLO 315/150/10 A c/w 0,75KW 2P 380V","1","6117"
,,,"315 Diam Melinex Silencer 1.5D Podded","2","3490"
,,,"315 Diam Counter Flange","2","424"
,,,"315 Diam Mounting Feet","4","500"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","560"
"Total for SO4749",,,,"34","26077"
"Total for Cool World",,,,"34","26077"
"D-Teq Air (Pty) Ltd",,,,,
"30/06/2026","SO4696","Invoiced",,,
,,,"V 150/6 AR","1","1743"
"Total for SO4696",,,,"1","1743"
"07/07/2026","SO4712","Invoiced",,,
,,,"CE 250","3","1191"
,,,"V 150/6 AR","1","1743"
"Total for SO4712",,,,"4","2934"
"09/07/2026","SO4726","Invoiced",,,
,,,"CE 250","1","397"
"Total for SO4726",,,,"1","397"
"Total for D-Teq Air (Pty) Ltd",,,,"6","5074"
"DIMIS RESTAURANT PTY LTD",,,,,
"09/06/2026","SO4650","Invoiced",,,
,,,"MAXFLO 710/250/14 A c/w 4,00KW 4P 380V without motor","1","9120"
"Total for SO4650",,,,"1","9120"
"Total for DIMIS RESTAURANT PTY LTD",,,,"1","9120"
"DJ Air Conditioning",,,,,
"31/03/2026","SO4500","Invoiced",,,
,,,"500 Diam Counter Flange","1","355"
"Total for SO4500",,,,"1","355"
"03/06/2026","SO4637","Invoiced",,,
