sep=,
"Date","Document No.","Customer Ref.","Customer","Sales Rep","Due Date","Ant. Pmt.","Exclusive","VAT","Total Selling","Total Outstanding"
"08/07/2026","INV4737","PO11887","Brasco Electrical (2001) CC","GP - South","31/07/2026",,"15696","2354.4","18050.4","0"
"08/07/2026","INV4738","PO:SP734244","D-Teq Air (Pty) Ltd","GP - South","30/08/2026",,"2934","440.1","3374.1","3374.1"
"08/07/2026","INV4739","Cash Sale","Setati Sol","GP - Pretoria","31/07/2026",,"15638.22","2345.73","17983.95","0"
"08/07/2026","INV4740","cash sale","Setati Sol","GP - Pretoria","31/07/2026",,"94864","14229.6","109093.6","0"
"08/07/2026","INV4741","Cash Sale","ABMS ENGINEERING","GP - West","31/07/2026",,"6104","915.6","7019.6","0"
"09/07/2026","INV4742","PO0000150","Smartech Woman (Pty) Ltd","GP - West","31/07/2026",,"19570.19","2935.53","22505.72","0"
"09/07/2026","INV4743","FM4210 - MIMOSA MALL LEVEL 2","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","GP - North","30/08/2026",,"61914.13","9287.12","71201.25","0"
"09/07/2026","INV4744","PO0000824 - PO08 MOUNT GRACE","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","GP - North","30/08/2026",,"4290","643.5","4933.5","4933.5"
"10/07/2026","INV4745","PO4463","Air Speration (Pty) Ltd","SA - EASTERN CAPE","31/07/2026",,"5775","866.25","6641.25","0"
"10/07/2026","INV4746","PO - OA17902","Optimal Air CC","GP - West","30/08/2026",,"13092.15","1963.82","15055.97","15055.97"
"10/07/2026","INV4747","PO:1432","Invelaphi Group (Pty) Ltd","GP - South","31/07/2026",,"19778.05","2966.72","22744.77","0"
"10/07/2026","INV4748","SP734259","D-Teq Air (Pty) Ltd","GP - South","30/08/2026",,"397","59.55","456.55","456.55"
"10/07/2026","INV4749","PO:1440 - FM4217","Invelaphi Group (Pty) Ltd","GP - South","31/07/2026",,"4300","645","4945","0"
"10/07/2026","INV4750","PO:1439 - FM4218","Invelaphi Group (Pty) Ltd","GP - South","31/07/2026",,"12090","1813.5","13903.5","0"
"11/07/2026","INV4751","FM4219","ABMS ENGINEERING","GP - East","31/07/2026",,"5272","790.8","6062.8","0"
"13/07/2026","INV4752","PO0000834 - PO18 JHB FORENSIC - Replacent Fan","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","GP - North","30/08/2026",,"6359","953.85","7312.85","7312.85"
"13/07/2026","INV4753","PO0000901","Jaft Aircon Services (Pty) Ltd","GP - East","31/07/2026",,"8812","1321.8","10133.8","0"
"13/07/2026","INV4754","PO16033","Systeco Fabrication (Pty) Ltd","SA - Mpumalanga","31/07/2026",,"7341","1101.15","8442.15","0"
"13/07/2026","INV4755","FM4204","Dunamis Engineering","GP - East","31/07/2026",,"2895","434.25","3329.25","0"
"14/07/2026","INV4756","J52699","Compre Air (Pty) Ltd","GP - West","31/07/2026",,"8994.6","1349.19","10343.79","0"
"14/07/2026","INV4757","FM4209","Future Success","GP - South","31/07/2026",,"16975","2546.25","19521.25","0"
"14/07/2026","INV4758","FM4226 - AIRFLOW CEILING FAN","MR Aubrey Murray","SA - EASTERN CAPE","31/07/2026",,"490","73.5","563.5","563.5"
"14/07/2026","INV4759","FM4225","Wright Air (Pty) Ltd","ROA - Swaziland","31/07/2026",,"10884.94","1632.74","12517.68","0"
"14/07/2026","INV4760","Cash Sale","RG JACK & SON","SA - Western Cape","31/07/2026",,"11214","1682.1","12896.1","0"
"15/07/2026","INV4761","Commission Claim - July 2026","Howden Fan Equipment a division of Howden Africa (Pty) Ltd","Zinziso Xhallie","25/07/2026",,"62263.22","9339.48","71602.7","0"
"15/07/2026","INV4762","FM4230","Airpro Fans and Blowers (Pty) Ltd","Sales Agent Airpro Fans and Blowers","30/08/2026",,"21534","3230.1","24764.1","0"
"16/07/2026","INV4763","PO:26860","Maddox Adams International SA cc","GP - East","31/07/2026",,"30040.42","4506.06","34546.48","0"
"16/07/2026","INV4764","Cash Sale","Compre Air (Pty) Ltd","GP - West","31/07/2026",,"11154","1673.1","12827.1","0"
"16/07/2026","INV4765","FM4236","Ducttech CC","GP - East","31/07/2026",,"9606.15","1440.92","11047.07","0"
"16/07/2026","INV4766","FM4239","Ducttech CC","GP - East","31/07/2026",,"886","132.9","1018.9","0"
"16/07/2026","INV4767","Cash Sale","HMI Projects","GP - East","31/07/2026",,"1159","173.85","1332.85","0"
"16/07/2026","INV4768","PO116958- Mcdonalds Rietfontein","Boleng Mechanical Engineering Services & Consulting","GP - West","31/07/2026",,"38028","5704.2","43732.2","43732.2"
"16/07/2026","INV4769","Cash Sale","Triomphant Pty Ltd","SA - Free State","31/07/2026",,"24430","3664.5","28094.5","0"
"17/07/2026","INV4770","FM4227","Industrial Supply (Pty)Ltd","GP - Pretoria","31/07/2026",,"6730","1009.5","7739.5","0"
"17/07/2026","INV4771","Cash Sale","JJJ Airconditioning and Refrigeration","GP - South","31/07/2026",,"5414","812.1","6226.1","0"
"17/07/2026","INV4772","OA17954","Optimal Air CC","GP - West","30/08/2026",,"3970","595.5","4565.5","4565.5"
"17/07/2026","INV4773","FM4229","TechnoMobile cc","GP - West","22/07/2026",,"30445.24","4566.79","35012.03","0"
"17/07/2026","INV4774","Cash Sale","Elroi Trading Enterprise","GP - North","31/07/2026",,"4282","642.3","4924.3","0"
"20/07/2026","INV4775","PO116976","Boleng Mechanical Engineering Services & Consulting","GP - West","31/07/2026",,"7096.5","1064.48","8160.98","8160.98"
"21/07/2026","CRN1085","PO01027171","VOLTEX THOHOYANDOU","SA - Limpopo","31/07/2026",,"-1365.52","-204.83","-1570.35","0"
"21/07/2026","INV4776","FM4245","Premium Kitchens","GP - East","31/07/2026",,"11817","1772.55","13589.55","0"
"21/07/2026","INV4777","Cash Sale","Apex Engineering (PTY) Ltd","SA - Western Cape","31/07/2026",,"5250","787.5","6037.5","0"
"21/07/2026","INV4778","PO01027171 - HANDLING FEE","VOLTEX THOHOYANDOU","SA - Limpopo","30/08/2026",,"204.83","30.72","235.55","235.55"
"21/07/2026","INV4779","Cash Sale","Cool World","ROA - Zimbabwe","31/07/2026",,"26077","3911.55","29988.55","0"
"21/07/2026","INV4780","FM4242-Revised","Global Cooling Air","GP - West","31/07/2026",,"10357.24","1553.59","11910.83","0"
"21/07/2026","INV4781","Cash Sale","Duduzani","GP - North","31/07/2026",,"3120","468","3588","0"
"22/07/2026","INV4782","PO:26869","Maddox Adams International SA cc","GP - East","31/07/2026",,"15020.21","2253.03","17273.24","0"
"22/07/2026","INV4783","FM4241","EJ Stainless & Mildsteel Solutions","SA - Free State","31/07/2026",,"3194","479.1","3673.1","0"
"22/07/2026","INV4784","FM4232","ZEFS More Vision","GP - East","31/07/2026",,"5652.79","847.92","6500.71","0"
"22/07/2026","INV4785","PurchaseOrder - 1521","Right Price Airconditioning (Pty) Ltd","GP - South","31/07/2026",,"5690","853.5","6543.5","0"
"22/07/2026","INV4786","P272857 MM","Noble Motor and Control (Pty) Ltd","GP - South","30/08/2026",,"19926","2988.9","22914.9","22914.9"
"22/07/2026","INV4787","FM4164-FM4166","TESLA COMMS","GP - South","31/07/2026",,"944","141.6","1085.6","0"
"24/07/2026","INV4788","FOREIGN ORDER - MAURITIUS","Vortron System Mauritius Ltd","ROA - Mauritius","30/08/2026",,"241125","0","241125","241125"
"24/07/2026","INV4789","63007","Chabo & Joubert Air Conditioning (Pty) Ltd","SA - Mpumalanga","30/08/2026",,"5510.95","826.65","6337.6","6337.6"
"24/07/2026","INV4790","PO2297","Hucra Fans","Sales Agent Hucra Fans","30/08/2026",,"2232","334.8","2566.8","2566.8"
"24/07/2026","INV4791","PO2298","Hucra Fans","Sales Agent Hucra Fans","30/08/2026",,"2934","440.1","3374.1","3374.1"
"28/07/2026","CRN1086","61233","CHABO AND JOUBERT AIR CONDITIONING HOLDINGS (PTY) LTD","SA - Mpumalanga","31/07/2026",,"-3790.5","-568.58","-4359.08","0"
"28/07/2026","INV4792","FM4164-FM4166","TESLA COMMS","GP - South","31/07/2026",,"64070","9610.5","73680.5","0"
"28/07/2026","INV4793","PO:4500220535","Rand Refinery (Pty) Ltd","GP - East","30/08/2026",,"61734.4","9260.16","70994.56","70994.56"
"28/07/2026","INV4794","POS136542","Africa Trading (Pty) Ltd","GP - East","30/08/2026",,"1984","297.6","2281.6","2281.6"
"28/07/2026","INV4795","FM4268","ZEFS More Vision","GP - East","31/07/2026",,"4167","625.05","4792.05","0"
"28/07/2026","INV4796","PO2299","Hucra Fans","Sales Agent Hucra Fans","30/08/2026",,"4200","630","4830","4830"
"29/07/2026","INV4797","Cash Sale","Techmo Property Services","GP - North","31/07/2026",,"13691.41","2053.71","15745.12","0"
"29/07/2026","INV4798","PO11842","Xtreme Air Control (Pty) Ltd","GP - North","30/08/2026",,"18315","2747.25","21062.25","21062.25"
"29/07/2026","INV4799","FM4164-FM4166","TESLA COMMS","GP - South","31/07/2026",,"20152","3022.8","23174.8","0"
"30/07/2026","INV4800","PO: Colin","Jamarmic Pump and Valve Engineering (Pty) Ltd","GP - South","30/08/2026",,"9517.64","1427.65","10945.29","10945.29"
"30/07/2026","INV4801","PO 1789S/0430","Enviroware Construction (Pty) Ltd","GP - North","30/08/2026",,"15469.99","2320.5","17790.49","17790.49"
