sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"1000HVJ-2S","1000 Diam Vertical Discharge Unit","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000HVJ-2SB","1000 Diam Vertical Discharge BASE","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000IC","Majax Inlet Cone",,"R 1,478.00","1478","0","0","0","-1478","2","Yes","Yes"
"1000ILC","Majax-2 Inlet Cone Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000MBP09","1-0350-240 P09 - 1000 Motor Bracket",,"R 0.00","72.61","0","0","0","-72.61","36","Yes","Yes"
"1000MF","1000 Diam Mounting Feet","FM - M/FEET","R 497.00","471.32","868","998.2","45.7","396.68","90","Yes","Yes"
"1000MFUG","1000 Diam Mounting Feet Ungalvanized","FM - M/FEET","R 0.00","0","0","0","0","0","24","Yes","Yes"
"1000PLT400-3MM","1000 Casing Sheet - 3153 x 400 - 3mm","CASING","R 797.00","797","0","0","0","-797","0","Yes","Yes"
"1000PLT500-3MM","1000 Casing Sheet - 3153 x 500 - 3mm","CASING","R 997.00","997","0","0","0","-997","0","Yes","Yes"
"1000PLT800-4MM","1000 Casing Sheet - 3153 x 800 - 4mm",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000S1.0D","1000 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000S1.0DP","1000 Diam Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000S1.5D","1000 Diam Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000S1.5DP","1000 Diam Silencer 1.5D Podded","FM - DONKIN","R 6,255.00","6255","0","0","0","-6255","0","Yes","Yes"
"1000S2.0D","1000 Diam Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000S2.0DP","1000 Diam Silencer 2.0D Podded","FM - DONKIN","R 7,900.00","7900","0","0","0","-7900","0","Yes","Yes"
"1000SAP","1000mm Diam podded silencer 1400 Long",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000SM1.0D","1000 Diam Melinex Silencer 1.0D","FM - DONKIN","R 4,463.00","4463","0","0","0","-4463","4","Yes","Yes"
"1000SM1.0DP","1000 Diam Melinex Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","-4","Yes","Yes"
"1000SM1.5D","1000 Diam Melinex Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000SM1.5DP","1000 Diam Melinex Silencer 1.5D Podded","FM - DONKIN","R 5,620.00","5620","0","0","0","-5620","0","Yes","Yes"
"1000SM2.0D","1000 Diam Melinex Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000SM2.0DP","1000 Diam Melinex Silencer 2.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1002948","HCT-40-4T-0.33/PL","FM - SODECA","R 10,445.10","10445.1","0","0","0","-10445.1","0","Yes","Yes"
"1003102","HCT-80-4T-5.5/PL IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1003118","HCT-90-4T-7.5/PL IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1005876","HTM-45-4M","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1005877","HTM-45-4T","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1005878","HTM-56-4M","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1005879","HTM-56-4T","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1005880","HTM-63-4T IE3","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006313","HCDF-31-4T / ATEX / EXII2G Ex d","FM - SODECA","R 10,228.92","10228.92","0","0","0","-10228.92","1","Yes","Yes"
"1006315","HCDF 35 - 4T - Flameproof","FM - SODECA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"1006317","HCDF 40 - 4T - Flameproof","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006319","HCDF 45 - 4T - Flameproof","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006321","HCDF 50 - 4T - Flameproof","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006323","HCDF 56 - 4T - Flameproof","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1006386","HT-80-4T 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006628","R/THT-90-1",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006661","B-125",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006663","B-150",,"R 553.55","553.55","0","0","0","-553.55","8","Yes","Yes"
"1006732","BTUB-900",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006734","BTUB-1250",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006880","PS-125/20CV",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006889","PS-90",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006891","RT-125",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006904","RT-90",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1006974","RPA-20",,"R 281.92","281.92","0","0","0","-281.92","4","Yes","Yes"
"1007130","BAC-900",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007132","BAC - 1250",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007138","ACE - 125",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007140","ACE-150",,"R 754.81","754.81","0","0","0","-754.81","4","Yes","Yes"
"1007195","VSD3/A-RFT-10",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007207","VSD3/ARFT-30",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007213","VSD3/A-RFT-7.5",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007372","SC-900/1200",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007376","SR-1800/1200/1200",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007442","BIC - 254",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007944","CPV 1020 4T","FM - SODECA","R 7,198.89","7297.22","0","0","0","-7297.22","6","Yes","Yes"
"1007947","CPV 1325 4T","FM - SODECA","R 9,057.07","9057.07","0","0","0","-9057.07","2","Yes","Yes"
"1007957","CPV 1020 2TIE3","FM - SODECA","R 8,659.74","8659.74","0","0","0","-8659.74","4","Yes","Yes"
"1007960","CPV 1325 2TIE3","FM - SODECA","R 13,153.05","6576.53","0","0","0","-6576.53","2","Yes","Yes"
"1007964","CPV-1630-4T IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007966","CPV-1840-4T IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1007971","CPV -1942-4T-10 IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008005","CPV-1020-4T/ATEX/EXII2G Ex d",,"R 0.00","0","0","0","0","0","10","Yes","Yes"
"1008010","CPV-1020-2T/ATEX/EXII2G Ex d",,"R 0.00","0","0","0","0","0","10","Yes","Yes"
"1008011","CPV/ATEX-1325-2T/2G Ex db","FM - SODECA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"1008215","CJDXR-315-1 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008225","CJDXR-355-1.5 230/400V IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008226","CJDXR-400-3 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008234","CJDXR-400-3 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008235","CJDXR-400-4 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008243","CJDXR-450-4 230/400V. IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008843","CMA-218-2M","FM - SODECA","R 0.00","0","0","0","0","0","12","Yes","Yes"
"1008844","CMA-218-2T","FM - SODECA","R 3,537.71","2161.93","0","0","0","-2161.93","18","Yes","Yes"
"1008847","CMA-324-2M","FM - SODECA","R 4,501.77","1227.76","0","0","0","-1227.76","8","Yes","Yes"
"1008849","CMA-324-2T","FM - SODECA","R 4,151.17","3195.59","0","0","0","-3195.59","5","Yes","Yes"
"1008851","CMA-325-2M","FM - SODECA","R 4,664.86","4623.77","0","0","0","-4623.77","14","Yes","Yes"
"1008852","CMA-325-2T","FM - SODECA","R 4,377.09","3573.35","0","0","0","-3573.35","17","Yes","Yes"
"1008854","CMA-426-2M","FM - SODECA","R 5,120.08","4990.01","0","0","0","-4990.01","11","Yes","Yes"
"1008856","CMA-426-2T","FM - SODECA","R 5,150.31","3795.3","0","0","0","-3795.3","12","Yes","Yes"
"1008860","CMA-527-2M","FM - SODECA","R 7,066.18","7066.18","0","0","0","-7066.18","2","Yes","Yes"
"1008861","CMA-527-2T","FM - SODECA","R 6,651.52","6501.35","0","0","0","-6501.35","5","Yes","Yes"
"1008864","CMA-528-2M - 1.5","FM - SODECA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"1008867","CMA-531-2M-2","FM - SODECA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"1008870","CMA-528-2T-1.5 IE3","FM - SODECA","R 8,327.85","8327.86","0","0","0","-8327.86","2","Yes","Yes"
"1008871","CMA-528-2T-1 IE3","FM - SODECA","R 7,791.64","7791.64","0","0","0","-7791.64","-2","Yes","Yes"
"1008873","CMA-531-2T-1.5 IE3","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1008874","CMA-531-2T-2 IE3","FM - SODECA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"1008875","CMA-531-2T-3 IE3","FM - SODECA","R 13,272.68","13272.68","0","0","0","-13272.68","2","Yes","Yes"
"1008876","CMA-545-2T-4 c/w 3.0KW 2P 400V","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1008985","CMAT 531-2T","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1009156","CBD-1919-6M 1/10/HE",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1009166","CBD-2828-4M 3/4/HE",,"R 3,198.31","3198.31","0","0","0","-3198.31","11","Yes","Yes"
"100NB x 135mm","100NB x 135mm Style 10 Linkflex 100% (Inner & Outer Tube) EPDM rubber bellows c/w mild steel",,"R 2,020.00","2020","0","0","0","-2020","0","Yes","Yes"
"100T300","100 Diam Tube Silencer 300L","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"100T600","100 Diam Tube Silencer 600L","FM - DONKIN","R 360.00","360","0","0","0","-360","31","Yes","Yes"
"1010135","CA-160-2T-2 230/400V. IE3","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1010154","CA-172-2T-7.5 400/690V. IE3","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1010396","CAM 540 2T","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1010401","CAM 545 2T 4 c/w 3.0kw 2P 400V","FM - SODECA","R 16,164.90","14410.33","0","0","0","-14410.33","3","Yes","Yes"
"1010405","CAM 550-2T-5.5 230/400V. IE3",,"R 20,655.41","20655.41","0","0","0","-20655.41","2","Yes","Yes"
"1010407","CAM 550 2T 7.5","FM - SODECA","R 23,609.05","23609.05","0","0","0","-23609.05","3","Yes","Yes"
"1010410","CAM 752-2T-7.5 c/w 5.5kW 400/690v IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1010521","AT 10/10 SC - Single Unit","FM - NICOTRA","R 0.00","0","0","0","0","0","9","Yes","Yes"
"1010522","AT 10/10 SC2 - Double Unit","FM - NICOTRA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1010596","CAS 254 - 2T - 3","FM - SODECA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"1010606","CAS 463 - 2T - 7.5","FM - SODECA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"101065","ER70S MILD STEEL MIG WIRE 1.0MM",,"R 35.00","35","0","0","0","-35","135","Yes","Yes"
"1010817","CAS-463-2T-5.5/TODO INOX-304 380V. 60Hz",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1010818","CAS-463-2T-5.5/TODO INOX-304/ATEX/2G Ex eb 380V 60Hz",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1011200","CAS 863 - 2T","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1012-2010-A","SQUARE COMBINATION SET 4PC DASQUA",,"R 1,500.00","1500","0","0","0","-1500","2","Yes","Yes"
"1012391","CMP 38 2M","FM - SODECA","R 0.00","0","0","0","0","0","-3","Yes","Yes"
"1012392","CMP-38-2M/E 230V",,"R 2,087.48","2093.91","0","0","0","-2093.91","10","Yes","Yes"
"1012398","CMP 512 2M","FM - SODECA","R 2,041.26","735.24","0","0","0","-735.24","15","Yes","Yes"
"1012411","CMP 512 2T","FM - SODECA","R 1,814.80","1727.72","0","0","0","-1727.72","20","Yes","Yes"
"1012440","CMP-512-4T",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1012446","CMP 514 2M","FM - SODECA","R 2,017.37","1993.97","0","0","0","-1993.97","30","Yes","Yes"
"1012461","CMP 514 2T","FM - SODECA","R 2,171.16","2095.15","0","0","0","-2095.15","27","Yes","Yes"
"1012504","CMP 616 2M","FM - SODECA","R 3,465.06","1429.71","0","0","0","-1429.71","10","Yes","Yes"
"1012516","CMP 616 2T","FM - SODECA","R 2,781.53","2732.17","0","0","0","-2732.17","29","Yes","Yes"
"1012549","CMP 616-4T","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1012571","CMP 718 2M","FM - SODECA","R 0.00","0","0","0","0","0","7","Yes","Yes"
"1012594","CMP 820 2M","FM - SODECA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1012607","CMP 820 4T","FM - SODECA","R 3,718.18","2967.12","0","0","0","-2967.12","5","Yes","Yes"
"1012658","CMP 718 2T","FM - SODECA","R 4,085.56","4105.16","0","0","0","-4105.16","12","Yes","Yes"
"1012671","CMP 820 2T","FM - SODECA","R 4,321.54","4679.14","0","0","0","-4679.14","4","Yes","Yes"
"1012695","CMP 1025 2T 3","FM - SODECA","R 10,329.06","6886.04","0","0","0","-6886.04","3","Yes","Yes"
"1012714","CMP1128 2T 4",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1012739","CMP-1231-4T-4 IE3",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"101397","ANTI SPATTER 500ML",,"R 75.18","75.07","0","0","0","-75.07","25","Yes","Yes"
"101430","SOAP STONE (1 Box = 144 or ea)","CONSUMABLES","R 2.85","2.85","0","0","0","-2.85","144","Yes","Yes"
"1014656","CMRG-1240-4T 230/400V IE3",,"R 0.00","0","41304","47499.6","0","41304","2","Yes","Yes"
"1016608","HEP-25-2T/H 220-240/380-415V",,"R 3,617.41","3617.41","0","0","0","-3617.41","3","Yes","Yes"
"1016614","HEP-31-2M/H 220-240V","FM - SODECA","R 2,971.02","2971.02","0","0","0","-2971.02","0","Yes","Yes"
"1016615.","HEP-31-2T",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1016620","HEP-35-2M/H",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017052","HC-25-2M/H","FM - SODECA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"1017059","HC-25-2T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017069","HC-25-4M/H","FM - SODECA","R 2,562.68","1464.39","0","0","0","-1464.39","4","Yes","Yes"
"1017074","HC-25-4T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017082","HC-31-2M/H","FM - SODECA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"1017086","HC-31-2T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017097","HC-31-4M/H","FM - SODECA","R 2,681.25","1340.63","0","0","0","-1340.63","2","Yes","Yes"
"1017099","HC-31-4T/H","FM - SODECA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1017103","HC-35-2T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017106","HC-35-4M/H","FM - SODECA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"1017112","HC-35-4T/H","FM - SODECA","R 0.00","0","0","0","0","0","5","Yes","Yes"
"1017125","HC-40-4M/H","FM - SODECA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"1017127","HC-40-4T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017129","HC-40-6M/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017130","HC-40-6T/H","FM - SODECA","R 0.00","0","0","0","0","0","2","Yes","Yes"
"1017131","HC-45-4M/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017134","HC-45-4T/H","FM - SODECA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1017138","HC-45-6M/H","FM - SODECA","R 2,993.25","2993.25","0","0","0","-2993.25","1","Yes","Yes"
