Item Movement Report
Fan Movement (Pty) Ltd,,,Start Date:,01/03/2020
29/04/2025,SIV3004,Supplier Invoice,ACTOM,1.00
13/05/2025,SIV3050,Supplier Invoice,ACTOM,1.00
20/06/2025,SIV3129,Supplier Invoice,ACTOM,1.00
03/07/2025,SIV3181,Supplier Invoice,ACTOM,1.00
11/11/2025,SIV3585,Supplier Invoice,ACTOM,1.00
12/11/2025,SIV3603,Supplier Invoice,ACTOM,4.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,11.00
Total for Item:,0.3723PM - 0.37kW 2P 380V Pad Mount Motor,,,55.00
0.3741PM - 0.37KW 4P 220V Pad Mount Motor
04/11/2025,SIV3529,Supplier Invoice,WEG South Africa,1.00
04/11/2025,INV4167,Tax Invoice,Mabenaki Jr Projects,-1.00
04/11/2025,INV4168,Tax Invoice,Mabenaki Jr Projects,-1.00
12/11/2025,SIV3564,Supplier Invoice,WEG South Africa,1.00
16/02/2026,SIV3734,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
Total for Item:,0.3741PM - 0.37KW 4P 220V Pad Mount Motor,,,1.00
0.3743PM - 0.37kW 4P 380V Pad Mount Motor
24/06/2024,SIV2331,Supplier Invoice,ACTOM,1.00
17/10/2024,SIV2603,Supplier Invoice,ACTOM,1.00
05/11/2024,SIV2642,Supplier Invoice,ACTOM,1.00
05/11/2024,SIV2643,Supplier Invoice,ACTOM,2.00
12/11/2024,SIV2677,Supplier Invoice,WEG South Africa,2.00
13/11/2024,SIV2655,Supplier Invoice,ACTOM,1.00
28/11/2024,RTN1003,Supplier Return,ACTOM,-2.00
09/01/2025,SIV2760,Supplier Invoice,ACTOM,5.00
15/01/2025,SIV2767,Supplier Invoice,ACTOM,2.00
23/01/2025,SIV2787,Supplier Invoice,ACTOM,3.00
05/02/2025,SIV2807,Supplier Invoice,ACTOM,1.00
11/02/2025,SIV2819,Supplier Invoice,ACTOM,2.00
05/03/2025,SIV2868,Supplier Invoice,ACTOM,1.00
05/03/2025,SIV2869,Supplier Invoice,ACTOM,1.00
29/04/2025,SIV3004,Supplier Invoice,ACTOM,2.00
13/05/2025,SIV3051,Supplier Invoice,ACTOM,1.00
13/05/2025,SIV3052,Supplier Invoice,ACTOM,1.00
19/08/2025,SIV3312,Supplier Invoice,ACTOM,2.00
19/08/2025,SIV3313,Supplier Invoice,ACTOM,2.00
09/10/2025,SIV3415,Supplier Invoice,ACTOM,1.00
24/10/2025,SIV3457,Supplier Invoice,ACTOM,1.00
28/10/2025,SIV3434,Supplier Invoice,ACTOM,1.00
11/11/2025,SIV3585,Supplier Invoice,ACTOM,5.00
26/11/2025,SIV3600,Supplier Invoice,WEG South Africa,1.00
01/12/2025,SIV3465,Supplier Invoice,ACTOM,1.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,3.00
Total for Item:,0.3743PM - 0.37kW 4P 380V Pad Mount Motor,,,42.00
0.5523FM - 0.55KW 2P 380V Foot Mount Motor
23/04/2026,SIV3922,Supplier Invoice,ACTOM,1.00
Total for Item:,0.5523FM - 0.55KW 2P 380V Foot Mount Motor,,,1.00
0.5523PM - 0.55kW 2P 380V Pad Mount Motor
30/07/2024,SIV2430,Supplier Invoice,ACTOM,1.00
08/08/2024,SIV2443,Supplier Invoice,ACTOM,3.00
29/08/2024,SIV2490,Supplier Invoice,Bearing Man Group,1.00
29/08/2024,SIV2493,Supplier Invoice,ACTOM,1.00
17/10/2024,SIV2604,Supplier Invoice,ACTOM,1.00
05/11/2024,SIV2644,Supplier Invoice,ACTOM,1.00
05/11/2024,SIV2645,Supplier Invoice,ACTOM,1.00
13/11/2024,SIV2655,Supplier Invoice,ACTOM,1.00
19/11/2024,SIV2687,Supplier Invoice,ACTOM,1.00
20/11/2024,SIV2684,Supplier Invoice,ACTOM,1.00
26/11/2024,SIV2704,Supplier Invoice,ACTOM,1.00
05/12/2024,SIV2724,Supplier Invoice,ACTOM,1.00
05/02/2025,SIV2807,Supplier Invoice,ACTOM,1.00
11/02/2025,SIV2822,Supplier Invoice,ACTOM,6.00
28/02/2025,SIV2850,Supplier Invoice,Electromote (Pty) Ltd,1.00
05/03/2025,SIV2870,Supplier Invoice,ACTOM,2.00
26/03/2025,SIV2922,Supplier Invoice,ACTOM,1.00
10/06/2025,SIV3115,Supplier Invoice,ACTOM,1.00
10/06/2025,INV3794,Tax Invoice,HVAC PARTNERS PTY LTD,-1.00
25/06/2025,SIV3161,Supplier Invoice,ACTOM,1.00
29/07/2025,SIV3251,Supplier Invoice,ACTOM,2.00
29/07/2025,SIV3252,Supplier Invoice,ACTOM,1.00
22/09/2025,SIV3375,Supplier Invoice,Bearing Man Group,1.00
10/11/2025,INV4182,Tax Invoice,Matla Solution Group,-1.00
11/11/2025,SIV3585,Supplier Invoice,ACTOM,5.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,5.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,7.00
04/03/2026,SIV3795,Supplier Invoice,ACTOM,4.00
Total for Item:,0.5523PM - 0.55kW 2P 380V Pad Mount Motor,,,50.00
0.552P - 0.55Kw 2P 380V Pad Motor
12/06/2024,SIV2311,Supplier Invoice,ACTOM,1.00
Total for Item:,0.552P - 0.55Kw 2P 380V Pad Motor,,,1.00
0.5541PM - 0.55KW 4P 220V Pad Mount Motor
02/03/2026,SIV3771,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
Total for Item:,0.5541PM - 0.55KW 4P 220V Pad Mount Motor,,,1.00
0.5543PM - 0.55kW 4P 380V Pad Mount Motor
16/07/2024,SIV2378,Supplier Invoice,ACTOM,1.00
29/08/2024,SIV2489,Supplier Invoice,Electromote (Pty) Ltd,1.00
27/09/2024,SIV2561,Supplier Invoice,Electromote (Pty) Ltd,1.00
31/10/2024,SIV2638,Supplier Invoice,ACTOM,1.00
05/11/2024,SIV2642,Supplier Invoice,ACTOM,1.00
19/11/2024,SIV2686,Supplier Invoice,ACTOM,2.00
08/01/2025,SIV2758,Supplier Invoice,ACTOM,4.00
15/01/2025,SIV2769,Supplier Invoice,ACTOM,1.00
03/02/2025,SIV2799,Supplier Invoice,ACTOM,2.00
11/02/2025,SIV2819,Supplier Invoice,ACTOM,2.00
25/02/2025,SIV2841,Supplier Invoice,ACTOM,2.00
25/02/2025,SIV2843,Supplier Invoice,ACTOM,4.00
19/03/2025,SIV2906,Supplier Invoice,Electromote (Pty) Ltd,1.00
02/04/2025,SIV2957,Supplier Invoice,ACTOM,1.00
08/05/2025,SIV3030,Supplier Invoice,ACTOM,2.00
20/06/2025,SIV3129,Supplier Invoice,ACTOM,1.00
21/07/2025,SIV3232,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3243,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3260,Supplier Invoice,ACTOM,1.00
18/08/2025,SIV3309,Supplier Invoice,ACTOM,1.00
25/08/2025,SIV3327,Supplier Invoice,ACTOM,5.00
09/09/2025,SIV3357,Supplier Invoice,ACTOM,5.00
24/10/2025,SIV3457,Supplier Invoice,ACTOM,4.00
28/10/2025,SIV3434,Supplier Invoice,ACTOM,1.00
11/11/2025,SIV3538,Supplier Invoice,ACTOM,1.00
11/11/2025,SIV3585,Supplier Invoice,ACTOM,5.00
21/11/2025,SIV3586,Supplier Invoice,ACTOM,1.00
21/11/2025,SIV3586,Supplier Invoice,ACTOM,1.00
28/11/2025,SIV3614,Supplier Invoice,ACTOM,1.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,5.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,9.00
24/03/2026,SIV3841,Supplier Invoice,WEG South Africa,1.00
Total for Item:,0.5543PM - 0.55kW 4P 380V Pad Mount Motor,,,70.00
0.7523PM - 0.75kW 2P 380V Pad Mount Motor
30/07/2024,SIV2431,Supplier Invoice,ACTOM,1.00
08/08/2024,SIV2444,Supplier Invoice,ACTOM,1.00
25/02/2025,SIV2847,Supplier Invoice,ACTOM,1.00
05/03/2025,SIV2867,Supplier Invoice,ACTOM,1.00
02/04/2025,SIV2937,Supplier Invoice,ACTOM,1.00
14/04/2025,SIV2975,Supplier Invoice,ACTOM,2.00
25/04/2025,SIV3001,Supplier Invoice,Luck and King,2.00
22/05/2025,SIV3073,Supplier Invoice,ACTOM,1.00
19/08/2025,SIV3311,Supplier Invoice,ACTOM,1.00
25/08/2025,SIV3329,Supplier Invoice,ACTOM,1.00
22/10/2025,SIV3454,Supplier Invoice,ACTOM,1.00
23/10/2025,INV4126,Tax Invoice,LJ Trading & Projects (Pty) Ltd,-1.00
28/11/2025,SIV3612,Supplier Invoice,ACTOM,1.00
04/12/2025,SIV3620,Supplier Invoice,ACTOM,2.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,3.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,3.00
Total for Item:,0.7523PM - 0.75kW 2P 380V Pad Mount Motor,,,21.00
0.752P - 0.75Kw 2Pole 380V Pad Mount
05/06/2024,Opening Balance,Opening Balance,,3.00
06/06/2024,SIV2304,Supplier Invoice,ACTOM,2.00
12/06/2024,SIV2311,Supplier Invoice,ACTOM,1.00
Total for Item:,0.752P - 0.75Kw 2Pole 380V Pad Mount,,,6.00
0.7541FM - 0.75Kw 220v Foot Mount
21/11/2025,SIV3587,Supplier Invoice,ACTOM,1.00
Total for Item:,0.7541FM - 0.75Kw 220v Foot Mount,,,1.00
0.7541PM - 0.75Kw 220v Pad Mount
24/02/2026,SIV3753,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
Total for Item:,0.7541PM - 0.75Kw 220v Pad Mount,,,1.00
0.7543PM - 0.75kW 4P 380V Pad Mount Motor
24/06/2024,SIV2331,Supplier Invoice,ACTOM,1.00
16/07/2024,SIV2379,Supplier Invoice,ACTOM,2.00
07/10/2024,SIV2572,Supplier Invoice,ACTOM,1.00
21/10/2024,SIV2621,Supplier Invoice,ACTOM,1.00
09/01/2025,SIV2760,Supplier Invoice,ACTOM,1.00
03/02/2025,SIV2798,Supplier Invoice,ACTOM,3.00
05/03/2025,SIV2866,Supplier Invoice,ACTOM,1.00
18/03/2025,SIV2899,Supplier Invoice,ACTOM,1.00
02/04/2025,SIV2957,Supplier Invoice,ACTOM,1.00
14/04/2025,SIV2976,Supplier Invoice,ACTOM,1.00
29/04/2025,SIV3004,Supplier Invoice,ACTOM,2.00
05/06/2025,SIV3110,Supplier Invoice,ACTOM,1.00
20/06/2025,SIV3129,Supplier Invoice,ACTOM,1.00
21/07/2025,SIV3234,Supplier Invoice,ACTOM,2.00
21/07/2025,SIV3235,Supplier Invoice,ACTOM,2.00
21/07/2025,SIV3376,Supplier Invoice,ACTOM,2.00
01/08/2025,SIV3260,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3277,Supplier Invoice,ACTOM,3.00
19/08/2025,SIV3313,Supplier Invoice,ACTOM,1.00
22/08/2025,RTN1004,Supplier Return,ACTOM,-2.00
22/08/2025,RTN1005,Supplier Return,ACTOM,-2.00
09/09/2025,SIV3357,Supplier Invoice,ACTOM,9.00
19/11/2025,INV4224,Tax Invoice,Spec Solutions (PTY) LTD,-1.00
02/12/2025,SIV3619,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
03/12/2025,RTN1009,Supplier Return,ASKARI ELECTRIC (PTY) LTD,-1.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,3.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,3.00
04/03/2026,SIV3795,Supplier Invoice,ACTOM,10.00
Total for Item:,0.7543PM - 0.75kW 4P 380V Pad Mount Motor,,,48.00
0.7563PM - 0.75kW 6P 380V Pad Mount Motor
05/06/2025,SIV3110,Supplier Invoice,ACTOM,1.00
Total for Item:,0.7563PM - 0.75kW 6P 380V Pad Mount Motor,,,1.00
0.75kW VSD - 0.75kW Variable Speed Drive
20/05/2025,INV3759,Tax Invoice,Nompilo Engineering,-5.00
21/05/2025,SIV3070,Supplier Invoice,Drive Dynamics (Pty) Ltd,5.00
05/09/2025,INV3985,Tax Invoice,REAL COMFORT SOLUTIONS,-1.00
25/03/2026,INV4510,Tax Invoice,Rey & Lenferna Ltd,-1.00
25/03/2026,INV4510,Tax Invoice,Rey & Lenferna Ltd,-1.00
29/04/2026,SIV3937,Supplier Invoice,AM SYSTEMS INTEGRATIONS (PTY) LTD,1.00
Total for Item:,0.75kW VSD - 0.75kW Variable Speed Drive,,,-2.00
0.75kW VSD Enc. - 0.75kW Variable Speed Drive Enclosure
29/04/2026,SIV3937,Supplier Invoice,AM SYSTEMS INTEGRATIONS (PTY) LTD,2.00
Total for Item:,0.75kW VSD Enc. - 0.75kW Variable Speed Drive Enclosure,,,2.00
0010 - SPARE MOTOR - TIRACAMINO - Vortice Spare Motor for Tiracamino 0.12kW 4P 230V
08/07/2024,INV3128,Tax Invoice,Hucra Fans,-10.00
31/01/2025,INV3535,Tax Invoice,Hucra Fans,-10.00
13/05/2025,INV3740,Tax Invoice,Merwannes,-1.00
Total for Item:,0010 - SPARE MOTOR - TIRACAMINO - Vortice Spare Motor for Tiracamino 0.12kW 4P 230V,,,-21.00
009 - HVF/75N c/w 0.24kW 750mm 220V
01/10/2025,INV4048,Tax Invoice,barloworld Power,-3.00
01/10/2025,INV4048,Tax Invoice,barloworld Power,-8.00
01/10/2025,INV4048,Tax Invoice,barloworld Power,-8.00
01/10/2025,INV4048,Tax Invoice,barloworld Power,-1.00
Total for Item:,009 - HVF/75N c/w 0.24kW 750mm 220V,,,-20.00
02880 - PRA LOCKNUT BRASS No 0 & 1 - M20
25/09/2024,SIV2555,Supplier Invoice,Pratley (Pty) Ltd,2.00
17/01/2025,SIV2862,Supplier Invoice,Luft Industries Natal (Pty) Ltd,1.00
Total for Item:,02880 - PRA LOCKNUT BRASS No 0 & 1 - M20,,,3.00
02883 - PRA LOCKNUT BRASS No 3 - M32
26/02/2026,SIV3935,Supplier Invoice,Pratley (Pty) Ltd,2.00
Total for Item:,02883 - PRA LOCKNUT BRASS No 3 - M32,,,2.00
053575 - AFROX PICKELING PASTE AOX 1LT
11/02/2026,Opening Balance,Opening Balance,,2.00
12/02/2026,SIV3726,Supplier Invoice,INTROWELD CC,2.00
Total for Item:,053575 - AFROX PICKELING PASTE AOX 1LT,,,4.00
1 IP 65 - Change IP Rating - Motor Size 90Watts 2Pole 380V to IP 65
28/11/2024,SIV2714,Supplier Invoice,Luck and King,2.00
05/05/2025,SIV3011,Supplier Invoice,Luck and King,2.00
Total for Item:,1 IP 65 - Change IP Rating - Motor Size 90Watts 2Pole 380V to IP 65,,,4.00
1.1.2Pad - 1.1Kw 2P 380V Pad Mount Motor
05/06/2024,Opening Balance,Opening Balance,,3.00
19/08/2024,SIV2471,Supplier Invoice,ACTOM,1.00
20/09/2024,SIV2551,Supplier Invoice,ACTOM,1.00
25/02/2025,SIV2840,Supplier Invoice,ACTOM,1.00
29/04/2025,SIV3004,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3244,Supplier Invoice,ACTOM,1.00
25/08/2025,SIV3329,Supplier Invoice,ACTOM,4.00
28/10/2025,SIV3435,Supplier Invoice,ACTOM,2.00
12/11/2025,INV4196,Tax Invoice,Jamarmic Pump and Valve Engineering (Pty) Ltd,-1.00
10/03/2026,SIV3800,Supplier Invoice,WEG South Africa,1.00
Total for Item:,1.1.2Pad - 1.1Kw 2P 380V Pad Mount Motor,,,14.00
1.123PM - 1.1kW 2P 380V Pad Mount Motor
12/08/2024,SIV2460,Supplier Invoice,ACTOM,5.00
19/08/2024,SIV2472,Supplier Invoice,Electromote (Pty) Ltd,1.00
17/10/2024,SIV2602,Supplier Invoice,ACTOM,1.00
27/11/2024,SIV2706,Supplier Invoice,ACTOM,1.00
03/02/2025,SIV2801,Supplier Invoice,WEG South Africa,1.00
02/04/2025,SIV2957,Supplier Invoice,ACTOM,1.00
21/07/2025,SIV3233,Supplier Invoice,ACTOM,1.00
19/08/2025,SIV3313,Supplier Invoice,ACTOM,1.00
11/11/2025,SIV3552,Supplier Invoice,ACTOM,1.00
21/11/2025,SIV3586,Supplier Invoice,ACTOM,2.00
28/11/2025,SIV3610,Supplier Invoice,ACTOM,2.00
28/11/2025,SIV3613,Supplier Invoice,ACTOM,1.00
20/03/2026,SIV3831,Supplier Invoice,ACTOM,2.00
20/03/2026,SIV3832,Supplier Invoice,ACTOM,2.00
Total for Item:,1.123PM - 1.1kW 2P 380V Pad Mount Motor,,,22.00
1.141PM - 1.1kW 4P 220V Pad Mount Motor
03/12/2025,SIV3681,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
Total for Item:,1.141PM - 1.1kW 4P 220V Pad Mount Motor,,,1.00
1.143FM - 1.1kW 4P 400V B3 QL3
12/08/2024,SIV2463,Supplier Invoice,ACTOM,1.00
26/11/2024,SIV2683,Supplier Invoice,ACTOM,1.00
18/08/2025,SIV3310,Supplier Invoice,ACTOM,2.00
28/10/2025,SIV3453,Supplier Invoice,ACTOM,1.00
23/04/2026,SIV3923,Supplier Invoice,ACTOM,1.00
29/04/2026,SIV3936,Supplier Invoice,ACTOM,1.00
Total for Item:,1.143FM - 1.1kW 4P 400V B3 QL3,,,7.00
1.143PM - 1.1kW 4P 380V Pad Mount Motor
24/06/2024,SIV2332,Supplier Invoice,ACTOM,1.00
16/07/2024,SIV2378,Supplier Invoice,ACTOM,4.00
18/07/2024,SIV2392,Supplier Invoice,ACTOM,1.00
30/07/2024,SIV2432,Supplier Invoice,ACTOM,2.00
20/09/2024,SIV2550,Supplier Invoice,ACTOM,1.00
07/10/2024,SIV2573,Supplier Invoice,ACTOM,1.00
07/10/2024,SIV2574,Supplier Invoice,ACTOM,2.00
21/10/2024,SIV2621,Supplier Invoice,ACTOM,1.00
26/11/2024,SIV2689,Supplier Invoice,Electromote (Pty) Ltd,1.00
10/12/2024,SIV2730,Supplier Invoice,ACTOM,2.00
10/12/2024,SIV2731,Supplier Invoice,ACTOM,1.00
10/12/2024,SIV2732,Supplier Invoice,ACTOM,1.00
09/01/2025,SIV2759,Supplier Invoice,ACTOM,4.00
13/01/2025,SIV2762,Supplier Invoice,ACTOM,4.00
07/02/2025,SIV2808,Supplier Invoice,ACTOM,3.00
11/02/2025,SIV2820,Supplier Invoice,ACTOM,1.00
08/04/2025,SIV2954,Supplier Invoice,WEG South Africa,1.00
29/04/2025,SIV3006,Supplier Invoice,ACTOM,1.00
13/05/2025,SIV3050,Supplier Invoice,ACTOM,1.00
13/05/2025,SIV3053,Supplier Invoice,WEG South Africa,1.00
26/05/2025,SIV3081,Supplier Invoice,ACTOM,1.00
26/05/2025,SIV3082,Supplier Invoice,ACTOM,2.00
06/06/2025,SIV3113,Supplier Invoice,ACTOM,6.00
02/07/2025,SIV3173,Supplier Invoice,ACTOM,4.00
02/07/2025,SIV3174,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3259,Supplier Invoice,ACTOM,1.00
01/08/2025,SIV3260,Supplier Invoice,ACTOM,2.00
04/09/2025,SIV3355,Supplier Invoice,Electromote (Pty) Ltd,6.00
30/09/2025,SIV3473,Supplier Invoice,Electromote (Pty) Ltd,4.00
16/10/2025,SIV3405,Supplier Invoice,Electromote (Pty) Ltd,1.00
21/11/2025,SIV3586,Supplier Invoice,ACTOM,2.00
13/03/2026,SIV3807,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
13/03/2026,SIV3811,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
20/03/2026,SIV3831,Supplier Invoice,ACTOM,5.00
29/04/2026,SIV3932,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
Total for Item:,1.143PM - 1.1kW 4P 380V Pad Mount Motor,,,75.00
1.163PM - 1.1kW 6P 380V Pad Mount Motor
30/08/2024,SIV2499,Supplier Invoice,WEG South Africa,2.00
Total for Item:,1.163PM - 1.1kW 6P 380V Pad Mount Motor,,,2.00
1.523PM - 1.5kW 2P 380V Pad Mount Motor
01/07/2024,SIV2347,Supplier Invoice,ACTOM,2.00
10/10/2024,SIV2594,Supplier Invoice,ACTOM,2.00
05/12/2024,SIV2724,Supplier Invoice,ACTOM,1.00
19/02/2025,SIV2831,Supplier Invoice,ACTOM,2.00
25/02/2025,SIV2840,Supplier Invoice,ACTOM,1.00
05/03/2025,SIV2872,Supplier Invoice,ACTOM,1.00
19/08/2025,SIV3313,Supplier Invoice,ACTOM,1.00
25/08/2025,SIV3329,Supplier Invoice,ACTOM,1.00
28/11/2025,SIV3611,Supplier Invoice,ACTOM,2.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,2.00
19/02/2026,SIV3724,Supplier Invoice,ACTOM,2.00
04/03/2026,SIV3795,Supplier Invoice,ACTOM,2.00
Total for Item:,1.523PM - 1.5kW 2P 380V Pad Mount Motor,,,19.00
1.543PM - 1.5kW 4P 380V Pad Mount Motor
24/06/2024,SIV2330,Supplier Invoice,ACTOM,1.00
09/09/2024,SIV2522,Supplier Invoice,ACTOM,3.00
10/09/2024,SIV2527,Supplier Invoice,ACTOM,2.00
12/09/2024,SIV2530,Supplier Invoice,Luck and King,2.00
13/11/2024,SIV2681,Supplier Invoice,ACTOM,2.00
05/12/2024,SIV2724,Supplier Invoice,ACTOM,1.00
05/02/2025,SIV2807,Supplier Invoice,ACTOM,1.00
10/03/2025,SIV2878,Supplier Invoice,ACTOM,1.00
18/03/2025,SIV2899,Supplier Invoice,ACTOM,2.00
18/03/2025,SIV2900,Supplier Invoice,ACTOM,1.00
26/03/2025,SIV2917,Supplier Invoice,ACTOM,1.00
02/04/2025,SIV2956,Supplier Invoice,ACTOM,1.00
29/04/2025,SIV3004,Supplier Invoice,ACTOM,1.00
13/05/2025,SIV3052,Supplier Invoice,ACTOM,1.00
05/06/2025,SIV3110,Supplier Invoice,ACTOM,1.00
05/06/2025,SIV3110,Supplier Invoice,ACTOM,1.00
05/06/2025,SIV3110,Supplier Invoice,ACTOM,1.00
25/06/2025,SIV3162,Supplier Invoice,ACTOM,1.00
27/06/2025,SIV3163,Supplier Invoice,ACTOM,1.00
02/08/2025,SIV3270,Supplier Invoice,WEG South Africa,1.00
02/08/2025,SIV3271,Supplier Invoice,WEG South Africa,1.00
04/09/2025,SIV3355,Supplier Invoice,Electromote (Pty) Ltd,8.00
16/10/2025,SIV3405,Supplier Invoice,Electromote (Pty) Ltd,1.00
11/11/2025,SIV3585,Supplier Invoice,ACTOM,8.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,1.00
03/02/2026,SIV3709,Supplier Invoice,ACTOM,1.00
10/02/2026,SIV3732,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
06/03/2026,SIV3789,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
13/03/2026,SIV3807,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
13/03/2026,SIV3811,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,2.00
23/04/2026,SIV3928,Supplier Invoice,ASKARI ELECTRIC (PTY) LTD,1.00
23/04/2026,SIV3938,Supplier Invoice,WEG South Africa,1.00
Total for Item:,1.543PM - 1.5kW 4P 380V Pad Mount Motor,,,55.00
1.563PM - 1.5kW 6P 380V Pad Mount Motor
20/06/2025,SIV3128,Supplier Invoice,ACTOM,10.00
Total for Item:,1.563PM - 1.5kW 6P 380V Pad Mount Motor,,,10.00
1.583PM - 1.5KW 8P 380V Pad Mount Motor
29/08/2024,SIV2491,Supplier Invoice,Bearing Man Group,1.00
Total for Item:,1.583PM - 1.5KW 8P 380V Pad Mount Motor,,,1.00
1.5kW VSD - 1.5kW Variable Speed Drive
25/03/2026,INV4510,Tax Invoice,Rey & Lenferna Ltd,-1.00
29/04/2026,SIV3937,Supplier Invoice,AM SYSTEMS INTEGRATIONS (PTY) LTD,1.00
Total for Item:,1.5kW VSD - 1.5kW Variable Speed Drive,,,0.00
1.5kW VSD ENC. - 1.5kW Variable Speed Drive Enclosure
29/04/2026,SIV3937,Supplier Invoice,AM SYSTEMS INTEGRATIONS (PTY) LTD,1.00
Total for Item:,1.5kW VSD ENC. - 1.5kW Variable Speed Drive Enclosure,,,1.00
100/112 FR 27.8 - 100/112 Motor Frame - 27.8 mm OD Spacer
19/06/2024,SIV2322,Supplier Invoice,Hulmak Engineering cc,25.00
23/09/2024,SIV2552,Supplier Invoice,Hulmak Engineering cc,12.00
Total for Item:,100/112 FR 27.8 - 100/112 Motor Frame - 27.8 mm OD Spacer,,,37.00
1000 HDG - 1000SC 1000mm Diam HDG Screen
25/02/2026,SIV3787,Supplier Invoice,Heinmor Wire Products CC,2.00
12/03/2026,INV4456,Tax Invoice,Crystal Sparkle Trading,-2.00
Total for Item:,1000 HDG - 1000SC 1000mm Diam HDG Screen,,,0.00
1000 ICS - Majax Inlet Cone & Screen
12/03/2026,INV4456,Tax Invoice,Crystal Sparkle Trading,-2.00
Total for Item:,1000 ICS - Majax Inlet Cone & Screen,,,-2.00
1000 SIL - Inlet Silencer 1000 1.5D (1000mm Diameter to reduce noise on the dischargeside)
04/12/2024,INV3461,Tax Invoice,BERVES ENGINEERING LIMITED,-1.00
