sep=,
"Name
                     
                    Date","Reference","Status","Description","Qty","Total Selling"
,,,"CPV 1020 4T","1","0"
"Total for SO4477",,,,"1","0"
"24/03/2026","SO4481","Invoiced",,,
,,,"VRL6 - 2'","1","2753"
"Total for SO4481",,,,"1","2753"
"Total for Hucra Fans",,,,"8","39039"
"Hurricane Group",,,,,
"13/03/2026","SO4452","Invoiced",,,
,,,"MAJAX-3 500 c/w 3,00KW 2P 380V","4","42996"
,,,"500 Diam Counter Flange","8","2840"
"Total for SO4452",,,,"12","45836"
"Total for Hurricane Group",,,,"12","45836"
"LJ Trading & Projects (Pty) Ltd",,,,,
"21/03/2026","SO4473","Invoiced",,,
,,,"3kW 4P 380V Pad Mount Motor","1","4739"
"Total for SO4473",,,,"1","4739"
"Total for LJ Trading & Projects (Pty) Ltd",,,,"1","4739"
"MBS",,,,,
"05/03/2026","SO4432","Invoiced",,,
,,,"MAXFLO 560/250/14 P c/w 1,50KW 4P 380V","2","19127.7"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","4","1588"
,,,"560 Diam Mounting Feet","8","2072"
,,,"Anti-Vibration Rubber Mounts","8","520"
"Total for SO4432",,,,"24","30125.7"
"Total for MBS",,,,"24","30125.7"
"MK Technical Services (PTY) LTD",,,,,
"16/03/2026","SO4459","Invoiced",,,
,,,"NEOLINEO-315/V","1","6144"
,,,"315 Diam Tube Silencer 600L","2","1768"
"Total for SO4459",,,,"3","7912"
"Total for MK Technical Services (PTY) LTD",,,,"3","7912"
"Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies",,,,,
"11/03/2026","SO4444","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12144"
"Total for SO4444",,,,"1","12144"
"18/03/2026","SO4468","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12144"
"Total for SO4468",,,,"1","12144"
"Total for Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies",,,,"2","24288"
"NWK LTD",,,,,
"23/03/2026","SO4474","Invoiced",,,
,,,"CMA-325-2M","3","39120"
"Total for SO4474",,,,"3","39120"
"Total for NWK LTD",,,,"3","39120"
"Nishac Industrial Suppliers",,,,,
"17/03/2026","SO4466","Invoiced",,,
,,,"KSB250 SILENT FAN","1","5652"
"Total for SO4466",,,,"1","5652"
"23/03/2026","SO4476","Invoiced",,,
,,,"LINEO 125 QUIET","1","3044"
"Total for SO4476",,,,"1","3044"
"Total for Nishac Industrial Suppliers",,,,"2","8696"
"Pinnacle Airconditioning",,,,,
"12/03/2026","SO4449","Invoiced",,,
,,,"KDAXIS 200","1","1586"
"Total for SO4449",,,,"1","1586"
"Total for Pinnacle Airconditioning",,,,"1","1586"
"RTS Africa Engineering (Pty) Ltd",,,,,
"23/03/2026","SO4475","Pending",,,
,,,"MAJAX 400 c/w 0.75kW 2Pole 380V","2","22576"
,,,"Data Book","2","7986"
,,,"400 Diam Side Screen","2","654"
"Total for SO4475",,,,"6","31216"
"Total for RTS Africa Engineering (Pty) Ltd",,,,"6","31216"
"Robust Ventilation Systems",,,,,
"20/03/2026","SO4471","Invoiced",,,
,,,"SPARE IMPELLER 710 9 BLADED - ALUMINIUM","1","2400"
"Total for SO4471",,,,"1","2400"
"Total for Robust Ventilation Systems",,,,"1","2400"
"ST AIR SERVICES AND MAINTENANCE (PTY) LTD",,,,,
"16/03/2026","SO4460","Invoiced",,,
,,,"MG 120/5 LL T","1","1437"
"Total for SO4460",,,,"1","1437"
"18/03/2026","SO4467","Invoiced",,,
,,,"MFO 120/5","1","0"
"Total for SO4467",,,,"1","0"
"24/03/2026","SO4479","Pending",,,
,,,"Fumax 1000.32.F. c/w 7.5 kW 4 Pole 380 V Motor (SEF 10)","1","39827"
,,,"Majax Inlet Cone c/w Screen","1","4371"
,,,"1000 Diam Counter Flange","1","777"
,,,"1000 Diam Mounting Feet","2","1736"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","4","600"
"Total for SO4479",,,,"9","47311"
"25/03/2026","SO4484","Invoiced",,,
,,,"Spring Mount H 1-200Black - for (Fumax 1000 7.5Kw 4P 380V)","36","10080"
,,,"Spring Mount H 1-125Red - for (Fumax 800 4KW 4P 380V)","16","4000"
,,,"Spring Mount H 1-310Yellow - for (Fumax 1000 22KW 4P 380V)","8","2240"
"Total for SO4484",,,,"60","16320"
"26/03/2026","SO4485","Pending",,,
,,,"Fumax 1000.32.F. c/w 7.5 kW 4 Pole 380 V Motor (SEF 10)","3","119481"
,,,"Majax Inlet Cone c/w Screen","3","13113"
,,,"1000 Diam Counter Flange","3","2331"
,,,"1000 Diam Mounting Feet","6","5208"
,,,"Spring Mount H 1-200Black","12","3360"
"Total for SO4485",,,,"27","143493"
"Total for ST AIR SERVICES AND MAINTENANCE (PTY) LTD",,,,"98","208561"
"Singita Management Company (Pty) Ltd.",,,,,
"03/03/2026","SO4422","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","2","27943.52"
"Total for SO4422",,,,"2","27943.52"
"Total for Singita Management Company (Pty) Ltd.",,,,"2","27943.52"
"TS TELEKI T/A VENT SYSTEM AND PROJECTS",,,,,
"12/03/2026","SO4451","Invoiced",,,
,,,"400 Diam Counter Flange - Ungalvanised","8","975.2"
"Total for SO4451",,,,"8","975.2"
"Total for TS TELEKI T/A VENT SYSTEM AND PROJECTS",,,,"8","975.2"
"The Pekay Group (pty)Ltd",,,,,
"10/03/2026","SO4438","Invoiced",,,
,,,"CPV 1020 4T","1","20493"
"Total for SO4438",,,,"1","20493"
"Total for The Pekay Group (pty)Ltd",,,,"1","20493"
"VIP SUPERMERCARDO LIMITADA",,,,,
"10/03/2026","SO4442","Invoiced",,,
,,,"VP 150K","2","6626"
"Total for SO4442",,,,"2","6626"
"Total for VIP SUPERMERCARDO LIMITADA",,,,"2","6626"
"Venwood and Baker Electrical (Pty) Ltd",,,,,
"13/03/2026","SO4455","Invoiced",,,
,,,"MAJAX-2 800 c/w 3,00KW 4P 525V","6","119310.66"
"Total for SO4455",,,,"6","119310.66"
"Total for Venwood and Baker Electrical (Pty) Ltd",,,,"6","119310.66"
"Vigeta Pty Ltd",,,,,
"18/03/2026","SO4470","Invoiced",,,
,,,"RAD 200","1","2187"
"Total for SO4470",,,,"1","2187"
"Total for Vigeta Pty Ltd",,,,"1","2187"
"Voltex Thohoyandou",,,,,
"03/03/2026","SO4425","Invoiced",,,
,,,"RAD 100","16","22080"
,,,"100 Diam Tube Silencer 600L","32","16640"
,,,"10M ALUMINIUM CORE ONLY 100 DIA","16","5040"
,,,"100MM METAL EXTRACT VALVE","16","2720"
,,,"WEATHER LOUVRE 200*200 NS NA","16","11360"
,,,"RABOX TO FIT ABOVE WL 200*200 + 100 SPIGOT","16","4160"
"Total for SO4425",,,,"112","62000"
"Total for Voltex Thohoyandou",,,,"112","62000"
"Xtreme Air Control (Pty) Ltd",,,,,
"26/03/2026","SO4486","Pending",,,
,,,"KSA-400-4K-T-380V","1","4908"
"Total for SO4486",,,,"1","4908"
"Total for Xtreme Air Control (Pty) Ltd",,,,"1","4908"
"ZEFS More Vision",,,,,
"04/03/2026","SO4426","Invoiced",,,
,,,"MAXFLO 630/150/10 A c/w 2,20KW 4P 380V","2","16800"
,,,"630 Diam Counter Flange","2","740"
"Total for SO4426",,,,"4","17540"
"12/03/2026","SO4450","Invoiced",,,
,,,"MAXFLO 630/150/10 A c/w 1,50KW 4P 380V","1","7490.5"
,,,"630 Diam Counter Flange","2","700"
"Total for SO4450",,,,"3","8190.5"
"13/03/2026","SO4453","Invoiced",,,
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","16","1600"
"Total for SO4453",,,,"16","1600"
"16/03/2026","SO4456","Invoiced",,,
,,,"MAXFLO 560/150/10 A c/w 1,10KW 4P 380V","1","7240.5"
,,,"560 Diam Counter Flange","2","640"
"Total for SO4456",,,,"3","7880.5"
"17/03/2026","SO4464","Invoiced",,,
,,,"MAXFLO 800/150/10 A c/w 7,50KW 4P 380V","1","13973.18"
,,,"800 Diam Counter Flange","1","608"
,,,"MAXFLO 560/150/10 P c/w 2,20KW 4P 380V","2","14380"
,,,"560 Diam Counter Flange","2","794"
"Total for SO4464",,,,"6","29755.18"
"20/03/2026","SO4472","Invoiced",,,
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"630 Diam Counter Flange","1","443"
,,,"630 Diam Mounting Feet","4","1040"
"Total for SO4472",,,,"13","2283"
"25/03/2026","SO4482","Pending",,,
,,,"MAXFLO 560/150/10 P c/w 0,55KW 4P 380V","1","6000"
,,,"560 Diam Counter Flange","2","640"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","6","390"
,,,"560 Diam Mounting Feet","4","1036"
"Total for SO4482",,,,"13","8066"
"Total for ZEFS More Vision",,,,"58","75315.18"
"systeco Pty ltd",,,,,
"05/03/2026","SO4430","Invoiced",,,
,,,"MAJAX-2 400 c/w 1,10KW 2P 380V","1","7898.93"
"Total for SO4430",,,,"1","7898.93"
"17/03/2026","SO4463","Invoiced",,,
,,,"MAJAX-2 400 c/w 1,10KW 2P 380V","1","7067.91"
"Total for SO4463",,,,"1","7067.91"
"Total for systeco Pty ltd",,,,"2","14966.84"
