Code,Description,Type,Category,Supplier,On Hand,Demand,Min,On Order,Lead,Status,   Avg Cost   , Total ,
10000000,Impeller 0560mm 'B' 250A14PR19mm 080Frame,,,,0,,,0,,, R1 612.00 , R1 612.00 ,
10000005,SILENTBLOCKS FOR THT-125-4/8T/6-27-F300 400V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000002,Monthly Retainer - March 2025,,,,0,,,0,,, R4 000.00 , R16 000.00 ,
1000005,TURBINA CMP 616 14 LG (Impeller for CMP616-2T-0.75 230/400V),,FM - SODECA,,0,,,0,,, R1 786.40 , R7 145.60 ,
1000005,FILTER F7 - REPLACEMENT FOR CJK/FILTER/EC-500-F7+9,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000012,HCD 20 4M,,FM - SODECA,,20,,,0,,, R798.59 , R22 360.52 ,
1000013,HCD 25 4M,,FM - SODECA,,0,,,0,,, R299.66 , R898.98 ,
1000013,HCD-30-4M 230V. 50/60Hz,,,,21,,,0,,, R1 635.63 , R13 085.04 ,
1000015,HCD 30 4M,,FM - SODECA,,0,,,0,,, R2 222.02 , R2 222.02 ,
1000016,HCD 35 4M,,FM - SODECA,,1,,,0,,,   R                         -    ,   R                             -    ,
1000039,HCT-25-2M/PL,,FM - SODECA,,8,,,0,,,   R                         -    ,   R                             -    ,
1000040,HCT-25-2T/PL,,FM - SODECA,,6,,,0,,,   R                         -    ,   R                             -    ,
1000043,HCT-25-4M/PL,,FM - SODECA,,8,,,0,,,   R                         -    ,   R                             -    ,
1000044,HCT-25-4T/PL,,FM - SODECA,,3,,,0,,,   R                         -    ,   R                             -    ,
1000046,HCT-31-2M/PL,,FM - SODECA,,8,,,0,,,   R                         -    ,   R                             -    ,
1000047,HCT-31-2T/PL,,FM - SODECA,,4,,,0,,,   R                         -    ,   R                             -    ,
1000049,HCT-31-4M/PL,,FM - SODECA,,6,,,0,,,   R                         -    ,   R                             -    ,
100005,SILENT BLOCK THT-90-4T-5.5-14-F-300,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000050,HCT-31-4T/PL,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1000051,HCT-35-2M/PL,,FM - SODECA,,1,,,0,,,   R                         -    ,   R                             -    ,
1000052,HCT-35-2T/PL,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1000054,HCT-35-4M/PL,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1000055,HCT-35-4T/PL,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1000BDD,Back Draft Demper,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000CF,1000 Diam Counter Flange,,FM - DONKIN,,0,,,0,,, R503.99 , R510 037.88 ,
1000FC,1000 Diam Flexible Connection,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000HVJ-2S,1000 Diam Vertical Discharge Unit,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000HVJ-2SB,1000 Diam Vertical Discharge BASE,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000IC,Majax Inlet Cone,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000ILC,Majax-2 Inlet Cone Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000MBP09,1-0350-240 P09 - 1000 Motor Bracket,,,,0,,,0,,, R108.91 , R2 613.84 ,
1000MF,1000 Diam Mounting Feet,,FM - DONKIN,,3,,,0,,, R590.16 , R55 475.04 ,
1000S1.0D,1000 Diam Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000S1.0DP,1000 Diam Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000S1.5D,1000 Diam Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000S1.5DP,1000 Diam Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,, R6 255.00 ,   R                             -    ,
1000S2.0D,1000 Diam Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000S2.0DP,1000 Diam Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,, R7 900.00 ,   R                             -    ,
1000SAP,1000mm Diam podded silencer 1400 Long,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000SM1.0D,1000 Diam Melinex Silencer 1.0D,,FM - DONKIN,,0,,,0,,, R4 463.00 , R17 852.00 ,
1000SM1.0DP,1000 Diam Melinex Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000SM1.5D,1000 Diam Melinex Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000SM1.5DP,1000 Diam Melinex Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,, R5 620.00 ,   R                             -    ,
1000SM2.0D,1000 Diam Melinex Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1000SM2.0DP,1000 Diam Melinex Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
1002948,HCT-40-4T-0.33/PL,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1005876,HTM-45-4M,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1005877,HTM-45-4T,,FM - SODECA,,4,,,0,,,   R                         -    ,   R                             -    ,
1005878,HTM-56-4M,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1005879,HTM-56-4T,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1005880,HTM-63-4T IE3,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1006313,HCDF-31-4T / ATEX / EXII2G Ex d,,FM - SODECA,,0,,,0,,, R10 228.92 , R10 228.92 ,
1006315,HCDF 35 - 4T - Flameproof,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1006317,HCDF 40 - 4T - Flameproof,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1006319,HCDF 45 - 4T - Flameproof,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1006321,HCDF 50 - 4T - Flameproof,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1006323,HCDF 56 - 4T - Flameproof,,FM - SODECA,,2,,,0,,,   R                         -    ,   R                             -    ,
1006386,HT-80-4T 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006628,R/THT-90-1,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006661,B-125,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006663,B-150,,,,0,,,0,,, R553.55 , R4 428.40 ,
1006732,BTUB-900,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006734,BTUB-1250,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006880,PS-125/20CV,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006889,PS-90,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006891,RT-125,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006904,RT-90,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1006974,RPA-20,,,,0,,,0,,, R281.92 , R1 127.68 ,
1007130,BAC-900,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007132,BAC - 1250,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007138,ACE - 125,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007140,ACE-150,,,,0,,,0,,, R754.81 , R3 019.24 ,
1007195,VSD3/A-RFT-10,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007207,VSD3/ARFT-30,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007213,VSD3/A-RFT-7.5,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007372,SC-900/1200,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007376,SR-1800/1200/1200,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007442,BIC - 254,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007944,CPV 1020 4T,,FM - SODECA,,0,,,3,,, R7 395.55 , R51 768.85 ,
1007947,CPV 1325 4T,,FM - SODECA,,0,,,2,,, R11 004.11 , R11 004.11 ,
1007957,CPV 1020 2TIE3,,FM - SODECA,,0,,,0,,, R8 659.74 , R34 638.96 ,
1007960,CPV 1325 2TIE3,,FM - SODECA,,2,,,0,,, R6 576.53 , R13 153.06 ,
1007964,CPV-1630-4T IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1007971,CPV -1942-4T-10 IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008005,CPV-1020-4T/ATEX/EXII2G Ex d,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008010,CPV-1020-2T/ATEX/EXII2G Ex d,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008215,CJDXR-315-1 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008225,CJDXR-355-1.5 230/400V IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008226,CJDXR-400-3 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008234,CJDXR-400-3 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008235,CJDXR-400-4 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008243,CJDXR-450-4 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1008843,CMA-218-2M,,FM - SODECA,,12,,,0,,,   R                         -    ,   R                             -    ,
1008844,CMA-218-2T,,FM - SODECA,,7,,,11,,,   R                         -    ,   R                             -    ,
1008847,CMA-324-2M,,FM - SODECA,,8,,,0,,, R1 227.76 , R9 822.08 ,
1008849,CMA-324-2T,,FM - SODECA,,7,,,0,,, R3 195.59 , R22 369.13 ,
1008851,CMA-325-2M,,FM - SODECA,,0,,,11,,, R4 473.11 , R31 311.77 ,
1008852,CMA-325-2T,,FM - SODECA,,5,,,11,,, R2 099.83 , R12 598.98 ,
1008854,CMA-426-2M,,FM - SODECA,,6,,,6,,, R4 833.92 , R29 003.52 ,
1008856,CMA-426-2T,,FM - SODECA,,9,,,0,,, R3 343.63 , R30 092.67 ,
1008860,CMA-527-2M,,FM - SODECA,,2,,,0,,, R7 066.18 , R14 132.36 ,
1008861,CMA-527-2T,,FM - SODECA,,5,,,0,,, R6 501.35 , R32 506.75 ,
1008864,CMA-528-2M - 1.5,,FM - SODECA,,4,,,0,,,   R                         -    ,   R                             -    ,
1008867,CMA-531-2M-2,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1008870,CMA-528-2T-1.5 IE3,,FM - SODECA,,3,,,0,,, R8 327.86 , R24 983.58 ,
1008871,CMA-528-2T-1 IE3,,FM - SODECA,,0,,,0,,, R7 791.64 ,   R                             -    ,
1008873,CMA-531-2T-1.5 IE3,,FM - SODECA,,2,,,0,,,   R                         -    ,   R                             -    ,
1008874,CMA-531-2T-2 IE3,,FM - SODECA,,3,,,0,,,   R                         -    ,   R                             -    ,
1008875,CMA-531-2T-3 IE3,,FM - SODECA,,2,,,0,,, R13 272.68 , R26 545.36 ,
1008876,CMA-545-2T-4 c/w 3.0KW 2P 400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1008985,CMAT 531-2T,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1009166,CBD-2828-4M 3/4/HE,,,,0,,,11,,,   R                         -    ,   R                             -    ,
100T300,100 Diam Tube Silencer 300L,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
100T600,100 Diam Tube Silencer 600L,,FM - DONKIN,,9,,,0,,, R341.00 , R2 728.00 ,
1010396,CAM 540 2T,,FM - SODECA,,3,,,0,,,   R                         -    ,   R                             -    ,
1010401,CAM 545 2T 4 c/w 3.0kw 2P 400V,,FM - SODECA,,2,,,0,,, R14 410.33 , R57 641.32 ,
1010405,CAM 550-2T-5.5 230/400V. IE3,,,,2,,,0,,, R20 655.41 , R41 310.82 ,
1010407,CAM 550 2T 7.5,,FM - SODECA,,0,,,0,,, R23 609.05 , R70 827.15 ,
1010410,CAM 752-2T-7.5 c/w 5.5kW 400/690v IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1010521,AT 10/10 SC - Single Unit,,FM - NICOTRA,,9,,,0,,,   R                         -    ,   R                             -    ,
1010522,AT 10/10 SC2 - Double Unit,,FM - NICOTRA,,4,,,0,,,   R                         -    ,   R                             -    ,
1010596,CAS 254 - 2T - 3,,FM - SODECA,,1,,,0,,,   R                         -    ,   R                             -    ,
1010606,CAS 463 - 2T - 7.5,,FM - SODECA,,1,,,0,,,   R                         -    ,   R                             -    ,
1010817,CAS-463-2T-5.5/TODO INOX-304 380V. 60Hz,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1010818,CAS-463-2T-5.5/TODO INOX-304/ATEX/2G Ex eb 380V 60Hz,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1011200,CAS 863 - 2T,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1012-2010-A,SQUARE COMBINATION SET 4PC DASQUA,,,,0,,,0,,, R1 500.00 , R3 000.00 ,
1012391,CMP 38 2M,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1012392,CMP-38-2M/E 230V,,,,0,,,0,,, R2 093.91 , R20 939.10 ,
1012398,CMP 512 2M,,FM - SODECA,,12,,,0,,, R735.24 , R13 969.56 ,
1012411,CMP 512 2T,,FM - SODECA,,19,,,0,,, R1 727.72 , R36 282.12 ,
1012446,CMP 514 2M,,FM - SODECA,,9,,,12,,, R1 978.37 , R43 524.14 ,
1012461,CMP 514 2T,,FM - SODECA,,18,,,0,,, R2 095.15 , R56 569.05 ,
1012504,CMP 616 2M,,FM - SODECA,,10,,,0,,, R1 429.71 , R20 015.94 ,
1012516,CMP 616 2T,,FM - SODECA,,14,,,0,,, R2 732.17 , R90 161.61 ,
1012571,CMP 718 2M,,FM - SODECA,,5,,,0,,,   R                         -    ,   R                             -    ,
1012594,CMP 820 2M,,FM - SODECA,,5,,,0,,,   R                         -    ,   R                             -    ,
1012607,CMP 820 4T,,FM - SODECA,,5,,,0,,, R2 967.12 , R14 835.60 ,
1012658,CMP 718 2T,,FM - SODECA,,11,,,0,,, R4 105.16 , R49 261.92 ,
1012671,CMP 820 2T,,FM - SODECA,,4,,,0,,, R4 798.34 , R19 193.36 ,
1012695,CMP 1025 2T 3,,FM - SODECA,,0,,,0,,, R6 886.04 , R20 658.12 ,
1012714,CMP1128 2T 4,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1014656,CMRG-1240-4T 230/400V IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1016608,HEP-25-2T/H 220-240/380-415V,,,,0,,,0,,, R3 617.41 , R10 852.23 ,
1016620,HEP-35-2M/H,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1017052,HC-25-2M/H,,FM - SODECA,,2,,,0,,,   R                         -    ,   R                             -    ,
1017059,HC-25-2T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017069,HC-25-4M/H,,FM - SODECA,,2 (3*),,,0,,, R1 464.39 , R10 250.73 ,
1017074,HC-25-4T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017082,HC-31-2M/H,,FM - SODECA,,1,,,0,,,   R                         -    ,   R                             -    ,
1017086,HC-31-2T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017097,HC-31-4M/H,,FM - SODECA,,0,,,0,,, R1 340.63 , R2 681.26 ,
1017099,HC-31-4T/H,,FM - SODECA,,4,,,0,,,   R                         -    ,   R                             -    ,
1017103,HC-35-2T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017106,HC-35-4M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017112,HC-35-4T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017125,HC-40-4M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017127,HC-40-4T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017129,HC-40-6M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017130,HC-40-6T/H,,FM - SODECA,,2,,,0,,,   R                         -    ,   R                             -    ,
1017131,HC-45-4M/H,,FM - SODECA,,2,,,0,,,   R                         -    ,   R                             -    ,
1017134,HC-45-4T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017138,HC-45-6M/H,,FM - SODECA,,0,,,0,,, R2 993.25 , R2 993.25 ,
1017139,HC-45-6T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017140,HC-50-4M/H,,FM - SODECA,,0,,,0,,, R2 783.25 , R2 783.25 ,
1017142,HC-50-4T/H,,FM - SODECA,,0,,,0,,, R5 554.99 ,   R                             -    ,
1017147,HC-50-6M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017148,HC-50-6T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017154,HC-56-6M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017155,HC-56-6T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017159,HC-63-6M/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017160,HC-63-6T/H,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1017177,HC-56-4T/H IE3,,FM - SODECA,,0,,,0,,, R2 428.50 , R4 857.00 ,
1017179,HC-63-4T/H IE3,,FM - SODECA,,3,,,0,,,   R                         -    ,   R                             -    ,
1017181,HC-71-4T/H IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1017315,HC-63-4T/H/ATEX/2G Ex db 380V. 60Hz,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1020807,CI-100-4/8T-F-400 400V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1023613,PV-90,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1023615,PV-125,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1023775,CJACUS/C-2,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1024046,FMC-C-501,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1024050,FM-DP500,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1024172,MTP,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1027474,CJBR-1850-4T 230/400V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1028473,SV-250/L 230V. 50/60Hz.,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1028479,SV-400/H 230V. 50/60Hz.,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1028560,HCT-35-4T/ATEX/2G Ex db 230/400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1028561,HCT-40-2T-1.5/ATEX/2G Ex db 230/400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1028566,HCT-50-4T-0.75/ATEX/2G Ex db 230/400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1028584,HCT-71-4T-3/ATEX/2G Ex db 230/400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1028591,HCT-80-4T-5.5/ATEX/2G Ex db 230/400V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1029359,CMP-616-4T/ATEX/2G Ex db 230/400V,,FM - SODECA,,0,,,0,,,   R                         -    ,   R                             -    ,
1030730,TUB-200,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1030731,TUB-225,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1030732,TUB-250,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1034783,NEOLINEO-125/V,,,,0,,,26,,,   R                         -    ,   R                             -    ,
1034784,NEOLINEO-150/V,,FM - SODECA,,0,,,26,,,   R                         -    ,   R                             -    ,
1034786,NEOLINEO-200/V,,FM - SODECA,,0,,,26,,,   R                         -    ,   R                             -    ,
1034787,NEOLINEO-250/V,,FM - SODECA,,0,,,26,,,   R                         -    ,   R                             -    ,
1034788,NEOLINEO-315/V,,FM - SODECA,,10,,,11,,, R2 616.54 , R28 781.94 ,
1054558,CAM 752-2T-10 c/w 7.5kW 400/690v IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1054591,CAM-760-2T-15/E,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1054601,CAM-880-2T-40,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1064 Laser Head,Jewellery Laser head,,,,0,,,0,,, R6 200.00 ,   R                             -    ,
1064128,HTP-125-4T-75 c/w 55kW 4Pole 400V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1064263,HCT-100-4T-15/AL 400/690V. IE3,,,,0,,,0,,,   R                         -    ,   R                             -    ,
106X3SPA,PULLEY FRICTION BELT V-WEDGE 3 GROOVE SPA 1610 TAPER 106MM FENNER,,,,0,,,0,,, R232.51 , R930.04 ,
1100999,Rental Sharp BP 30C25 Copier,,,,0,,,0,,, R1 388.54 , R1 388.54 ,
1100SAP,1100mm Diam podded silencer 1400 Long,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1105306,CMP-1128-2T-5.5/S/PIE RD 230/400V. IE3,,FM - SODECA,,0,,,0,,, R7 659.20 , R107 228.80 ,
1105922,CJFILTER/REC-600X900-450-CA,,,,0,,,0,,,   R                         -    ,   R                             -    ,
11100,MG 100/4 LL,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11101,MG 100/4 LL T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11102,MG 120/5 LL,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11103,MG 120/5 LL T,,FM - VORTICE,,14,,,0,,,   R                         -    ,   R                             -    ,
11104,MG 150/6 LL,,FM - VORTICE,,5,,,0,,,   R                         -    ,   R                             -    ,
11105,MG 150/6 LL T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11106,MGK 100/4 LL,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11110,"MG 90/3,5",,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11116,MG 120/5,,FM - VORTICE,,1,,,0,,,   R                         -    ,   R                             -    ,
11117,MG 150/6,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11123,MF 100,,FM - VORTICE,,89,,,0,,,   R                         -    ,   R                             -    ,
11124,MF 120,,FM - VORTICE,,92,,,0,,,   R                         -    ,   R                             -    ,
11125,MF 150,,FM - VORTICE,,56,,,0,,, R129.55 , R9 457.15 ,
11127,MF 100T,,FM - VORTICE,,5,,,0,,,   R                         -    ,   R                             -    ,
11128,MF 120 T,,FM - VORTICE,,29,,,0,,,   R                         -    ,   R                             -    ,
11129,MF 150T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
11131,MF 100 LL,,FM - VORTICE,,48,,,0,,,   R                         -    ,   R                             -    ,
11132,MF 120 LL,,FM - VORTICE,,57,,,0,,,   R                         -    ,   R                             -    ,
